Sat Jun  8 21:26:02 2013, (0 clock):	Start log file
Sat Jun  8 21:26:02 2013, (0 clock):	Inequality on param.dimensions cause width recalculation
Sat Jun  8 21:26:02 2013, (0 clock):	Some of the parameters in the given file were wrong - using default ones.
Sat Jun  8 21:26:02 2013, (0 clock):	Parameters loaded.
Sat Jun  8 21:26:02 2013, (0 clock):	controls:
  bounds:
    - 150
    - -150
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 10000
    length: 100
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW-CONTROLS
  parameters:
    - 3
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Sat Jun  8 21:26:02 2013, (0 clock):	Base DEM: TEE = 978317, EEL = 16558.3, EE = 391.327, EEE = 0.00264933, 
Sat Jun  8 21:26:22 2013, (19280000 clock):	1000 evaluated; 0 wrong controls; 293 violate mass constrain.
Sat Jun  8 21:26:43 2013, (39450000 clock):	2000 evaluated; 0 wrong controls; 491 violate mass constrain.
Sat Jun  8 21:27:04 2013, (59810000 clock):	3000 evaluated; 0 wrong controls; 667 violate mass constrain.
Sat Jun  8 21:27:24 2013, (79790000 clock):	4000 evaluated; 0 wrong controls; 870 violate mass constrain.
Sat Jun  8 21:27:44 2013, (99410000 clock):	5000 evaluated; 0 wrong controls; 1060 violate mass constrain.
Sat Jun  8 21:28:05 2013, (119820000 clock):	6000 evaluated; 0 wrong controls; 1240 violate mass constrain.
Sat Jun  8 21:28:26 2013, (140290000 clock):	7000 evaluated; 0 wrong controls; 1420 violate mass constrain.
Sat Jun  8 21:28:47 2013, (161050000 clock):	8000 evaluated; 0 wrong controls; 1597 violate mass constrain.
Sat Jun  8 21:29:12 2013, (180950000 clock):	9000 evaluated; 0 wrong controls; 1804 violate mass constrain.
Sat Jun  8 21:29:33 2013, (201610000 clock):	10000 evaluated; 0 wrong controls; 1969 violate mass constrain.
Sat Jun  8 21:29:53 2013, (221590000 clock):	11000 evaluated; 0 wrong controls; 2125 violate mass constrain.
Sat Jun  8 21:30:14 2013, (242130000 clock):	12000 evaluated; 0 wrong controls; 2288 violate mass constrain.
Sat Jun  8 21:30:35 2013, (262690000 clock):	13000 evaluated; 0 wrong controls; 2462 violate mass constrain.
Sat Jun  8 21:30:56 2013, (282950000 clock):	14000 evaluated; 0 wrong controls; 2637 violate mass constrain.
Sat Jun  8 21:31:18 2013, (303970000 clock):	15000 evaluated; 0 wrong controls; 2797 violate mass constrain.
Sat Jun  8 21:31:39 2013, (324660000 clock):	16000 evaluated; 0 wrong controls; 2961 violate mass constrain.
Sat Jun  8 21:32:00 2013, (345040000 clock):	17000 evaluated; 0 wrong controls; 3119 violate mass constrain.
Sat Jun  8 21:32:21 2013, (365680000 clock):	18000 evaluated; 0 wrong controls; 3264 violate mass constrain.
Sat Jun  8 21:32:41 2013, (385730000 clock):	19000 evaluated; 0 wrong controls; 3409 violate mass constrain.
Sat Jun  8 21:33:03 2013, (406500000 clock):	20000 evaluated; 0 wrong controls; 3542 violate mass constrain.
Sat Jun  8 21:33:24 2013, (426890000 clock):	21000 evaluated; 0 wrong controls; 3689 violate mass constrain.
Sat Jun  8 21:33:45 2013, (447650000 clock):	22000 evaluated; 0 wrong controls; 3834 violate mass constrain.
Sat Jun  8 21:34:05 2013, (467740000 clock):	23000 evaluated; 0 wrong controls; 3996 violate mass constrain.
Sat Jun  8 21:34:26 2013, (488060000 clock):	24000 evaluated; 0 wrong controls; 4153 violate mass constrain.
Sat Jun  8 21:34:47 2013, (508040000 clock):	25000 evaluated; 0 wrong controls; 4321 violate mass constrain.
Sat Jun  8 21:35:08 2013, (528030000 clock):	26000 evaluated; 0 wrong controls; 4500 violate mass constrain.
Sat Jun  8 21:35:28 2013, (547490000 clock):	27000 evaluated; 0 wrong controls; 4678 violate mass constrain.
Sat Jun  8 21:35:49 2013, (568010000 clock):	28000 evaluated; 0 wrong controls; 4872 violate mass constrain.
Sat Jun  8 21:36:09 2013, (587940000 clock):	29000 evaluated; 0 wrong controls; 5068 violate mass constrain.
Sat Jun  8 21:36:30 2013, (607840000 clock):	30000 evaluated; 0 wrong controls; 5260 violate mass constrain.
Sat Jun  8 21:36:49 2013, (627080000 clock):	31000 evaluated; 0 wrong controls; 5479 violate mass constrain.
Sat Jun  8 21:37:10 2013, (646970000 clock):	32000 evaluated; 0 wrong controls; 5651 violate mass constrain.
Sat Jun  8 21:37:30 2013, (666220000 clock):	33000 evaluated; 0 wrong controls; 5859 violate mass constrain.
Sat Jun  8 21:37:51 2013, (686690000 clock):	34000 evaluated; 0 wrong controls; 6031 violate mass constrain.
Sat Jun  8 21:38:11 2013, (706970000 clock):	35000 evaluated; 0 wrong controls; 6193 violate mass constrain.
Sat Jun  8 21:38:32 2013, (727360000 clock):	36000 evaluated; 0 wrong controls; 6357 violate mass constrain.
Sat Jun  8 21:38:53 2013, (747650000 clock):	37000 evaluated; 0 wrong controls; 6532 violate mass constrain.
Sat Jun  8 21:39:14 2013, (768370000 clock):	38000 evaluated; 0 wrong controls; 6678 violate mass constrain.
Sat Jun  8 21:39:36 2013, (789870000 clock):	39000 evaluated; 0 wrong controls; 6843 violate mass constrain.
Sat Jun  8 21:39:57 2013, (810260000 clock):	40000 evaluated; 0 wrong controls; 6978 violate mass constrain.
Sat Jun  8 21:40:19 2013, (831390000 clock):	41000 evaluated; 0 wrong controls; 7101 violate mass constrain.
Sat Jun  8 21:40:40 2013, (852100000 clock):	42000 evaluated; 0 wrong controls; 7264 violate mass constrain.
Sat Jun  8 21:41:01 2013, (872300000 clock):	43000 evaluated; 0 wrong controls; 7412 violate mass constrain.
Sat Jun  8 21:41:22 2013, (893000000 clock):	44000 evaluated; 0 wrong controls; 7552 violate mass constrain.
Sat Jun  8 21:41:43 2013, (913860000 clock):	45000 evaluated; 0 wrong controls; 7674 violate mass constrain.
Sat Jun  8 21:42:05 2013, (934640000 clock):	46000 evaluated; 0 wrong controls; 7802 violate mass constrain.
Sat Jun  8 21:42:26 2013, (954960000 clock):	47000 evaluated; 0 wrong controls; 7945 violate mass constrain.
Sat Jun  8 21:42:48 2013, (976320000 clock):	48000 evaluated; 0 wrong controls; 8074 violate mass constrain.
Sat Jun  8 21:43:08 2013, (996670000 clock):	49000 evaluated; 0 wrong controls; 8230 violate mass constrain.
Sat Jun  8 21:43:30 2013, (1017790000 clock):	50000 evaluated; 0 wrong controls; 8391 violate mass constrain.
Sat Jun  8 21:43:51 2013, (1037630000 clock):	51000 evaluated; 0 wrong controls; 8577 violate mass constrain.
Sat Jun  8 21:44:12 2013, (1058210000 clock):	52000 evaluated; 0 wrong controls; 8729 violate mass constrain.
Sat Jun  8 21:44:33 2013, (1078700000 clock):	53000 evaluated; 0 wrong controls; 8877 violate mass constrain.
Sat Jun  8 21:44:54 2013, (1099270000 clock):	54000 evaluated; 0 wrong controls; 9049 violate mass constrain.
Sat Jun  8 21:45:15 2013, (1119510000 clock):	55000 evaluated; 0 wrong controls; 9224 violate mass constrain.
Sat Jun  8 21:45:36 2013, (1140360000 clock):	56000 evaluated; 0 wrong controls; 9367 violate mass constrain.
Sat Jun  8 21:45:57 2013, (1160550000 clock):	57000 evaluated; 0 wrong controls; 9513 violate mass constrain.
