Sat Jun  8 21:25:59 2013, (0 clock):	Start log file
Sat Jun  8 21:25:59 2013, (0 clock):	Inequality on param.dimensions cause width recalculation
Sat Jun  8 21:25:59 2013, (0 clock):	Some of the parameters in the given file were wrong - using default ones.
Sat Jun  8 21:25:59 2013, (0 clock):	Parameters loaded.
Sat Jun  8 21:25:59 2013, (0 clock):	controls:
  bounds:
    - 150
    - -150
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 10000
    length: 100
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW-CONTROLS
  parameters:
    - 3
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Sat Jun  8 21:25:59 2013, (0 clock):	Base DEM: TEE = 978317, EEL = 16558.3, EE = 391.327, EEE = 0.00264933, 
Sat Jun  8 21:26:19 2013, (19260000 clock):	1000 evaluated; 0 wrong controls; 304 violate mass constrain.
Sat Jun  8 21:26:40 2013, (39010000 clock):	2000 evaluated; 0 wrong controls; 531 violate mass constrain.
Sat Jun  8 21:27:00 2013, (58570000 clock):	3000 evaluated; 0 wrong controls; 750 violate mass constrain.
Sat Jun  8 21:27:20 2013, (78560000 clock):	4000 evaluated; 0 wrong controls; 962 violate mass constrain.
Sat Jun  8 21:27:40 2013, (97990000 clock):	5000 evaluated; 0 wrong controls; 1194 violate mass constrain.
Sat Jun  8 21:27:59 2013, (116060000 clock):	6000 evaluated; 0 wrong controls; 1531 violate mass constrain.
Sat Jun  8 21:28:19 2013, (135700000 clock):	7000 evaluated; 0 wrong controls; 1782 violate mass constrain.
Sat Jun  8 21:28:39 2013, (155630000 clock):	8000 evaluated; 0 wrong controls; 1978 violate mass constrain.
Sat Jun  8 21:29:00 2013, (175710000 clock):	9000 evaluated; 0 wrong controls; 2198 violate mass constrain.
Sat Jun  8 21:29:20 2013, (195180000 clock):	10000 evaluated; 0 wrong controls; 2398 violate mass constrain.
Sat Jun  8 21:29:40 2013, (215120000 clock):	11000 evaluated; 0 wrong controls; 2606 violate mass constrain.
Sat Jun  8 21:30:00 2013, (234450000 clock):	12000 evaluated; 0 wrong controls; 2831 violate mass constrain.
Sat Jun  8 21:30:20 2013, (253900000 clock):	13000 evaluated; 0 wrong controls; 3062 violate mass constrain.
Sat Jun  8 21:30:41 2013, (274090000 clock):	14000 evaluated; 0 wrong controls; 3303 violate mass constrain.
Sat Jun  8 21:31:03 2013, (294820000 clock):	15000 evaluated; 0 wrong controls; 3499 violate mass constrain.
Sat Jun  8 21:31:23 2013, (314460000 clock):	16000 evaluated; 0 wrong controls; 3719 violate mass constrain.
Sat Jun  8 21:31:43 2013, (333610000 clock):	17000 evaluated; 0 wrong controls; 3944 violate mass constrain.
Sat Jun  8 21:32:03 2013, (353690000 clock):	18000 evaluated; 0 wrong controls; 4137 violate mass constrain.
Sat Jun  8 21:32:24 2013, (373950000 clock):	19000 evaluated; 0 wrong controls; 4338 violate mass constrain.
Sat Jun  8 21:32:44 2013, (393890000 clock):	20000 evaluated; 0 wrong controls; 4559 violate mass constrain.
Sat Jun  8 21:33:04 2013, (413120000 clock):	21000 evaluated; 0 wrong controls; 4800 violate mass constrain.
Sat Jun  8 21:33:24 2013, (432610000 clock):	22000 evaluated; 0 wrong controls; 5004 violate mass constrain.
Sat Jun  8 21:33:42 2013, (450200000 clock):	23000 evaluated; 0 wrong controls; 5361 violate mass constrain.
Sat Jun  8 21:34:01 2013, (468620000 clock):	24000 evaluated; 0 wrong controls; 5654 violate mass constrain.
Sat Jun  8 21:34:22 2013, (488690000 clock):	25000 evaluated; 0 wrong controls; 5879 violate mass constrain.
Sat Jun  8 21:34:41 2013, (507510000 clock):	26000 evaluated; 0 wrong controls; 6107 violate mass constrain.
Sat Jun  8 21:35:02 2013, (526920000 clock):	27000 evaluated; 0 wrong controls; 6343 violate mass constrain.
Sat Jun  8 21:35:21 2013, (545650000 clock):	28000 evaluated; 0 wrong controls; 6586 violate mass constrain.
Sat Jun  8 21:35:41 2013, (565190000 clock):	29000 evaluated; 0 wrong controls; 6812 violate mass constrain.
Sat Jun  8 21:36:02 2013, (585330000 clock):	30000 evaluated; 0 wrong controls; 7046 violate mass constrain.
Sat Jun  8 21:36:21 2013, (603850000 clock):	31000 evaluated; 0 wrong controls; 7307 violate mass constrain.
Sat Jun  8 21:36:42 2013, (623370000 clock):	32000 evaluated; 0 wrong controls; 7544 violate mass constrain.
Sat Jun  8 21:37:01 2013, (642360000 clock):	33000 evaluated; 0 wrong controls; 7815 violate mass constrain.
Sat Jun  8 21:37:21 2013, (661680000 clock):	34000 evaluated; 0 wrong controls; 8069 violate mass constrain.
Sat Jun  8 21:37:41 2013, (680910000 clock):	35000 evaluated; 0 wrong controls; 8323 violate mass constrain.
Sat Jun  8 21:38:00 2013, (699340000 clock):	36000 evaluated; 0 wrong controls; 8580 violate mass constrain.
Sat Jun  8 21:38:22 2013, (719130000 clock):	37000 evaluated; 0 wrong controls; 8798 violate mass constrain.
Sat Jun  8 21:38:43 2013, (738880000 clock):	38000 evaluated; 0 wrong controls; 9021 violate mass constrain.
Sat Jun  8 21:39:03 2013, (758180000 clock):	39000 evaluated; 0 wrong controls; 9254 violate mass constrain.
Sat Jun  8 21:39:23 2013, (777610000 clock):	40000 evaluated; 0 wrong controls; 9487 violate mass constrain.
Sat Jun  8 21:39:43 2013, (796450000 clock):	41000 evaluated; 0 wrong controls; 9731 violate mass constrain.
Sat Jun  8 21:40:02 2013, (815370000 clock):	42000 evaluated; 0 wrong controls; 9968 violate mass constrain.
Sat Jun  8 21:40:22 2013, (834510000 clock):	43000 evaluated; 0 wrong controls; 10195 violate mass constrain.
Sat Jun  8 21:40:42 2013, (853470000 clock):	44000 evaluated; 0 wrong controls; 10430 violate mass constrain.
Sat Jun  8 21:41:02 2013, (872500000 clock):	45000 evaluated; 0 wrong controls; 10660 violate mass constrain.
Sat Jun  8 21:41:22 2013, (892160000 clock):	46000 evaluated; 0 wrong controls; 10904 violate mass constrain.
Sat Jun  8 21:41:42 2013, (911190000 clock):	47000 evaluated; 0 wrong controls; 11143 violate mass constrain.
