Thu Jun  6 19:33:34 2013, (0 clock):	Start log file
Thu Jun  6 19:33:34 2013, (0 clock):	Parameters loaded.
Thu Jun  6 19:33:34 2013, (0 clock):	controls:
  bounds:
    - 450
    - -450
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    length: 1000
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW-CONTROLS
  parameters:
    - 3
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Thu Jun  6 19:33:34 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, EEL = 1.65583e+06, EE = 39.1327, EEE = 2.64933e-05, 
Thu Jun  6 19:33:48 2013, (13570000 clock):	1000 evaluated; 0 wrong controls; 735 violate mass constrain.
Thu Jun  6 19:34:05 2013, (29730000 clock):	2000 evaluated; 0 wrong controls; 1338 violate mass constrain.
Thu Jun  6 19:34:22 2013, (46240000 clock):	3000 evaluated; 0 wrong controls; 1912 violate mass constrain.
Thu Jun  6 19:34:39 2013, (62730000 clock):	4000 evaluated; 0 wrong controls; 2495 violate mass constrain.
Thu Jun  6 19:34:57 2013, (79870000 clock):	5000 evaluated; 0 wrong controls; 3047 violate mass constrain.
Thu Jun  6 19:35:15 2013, (96910000 clock):	6000 evaluated; 0 wrong controls; 3599 violate mass constrain.
Thu Jun  6 19:35:33 2013, (114640000 clock):	7000 evaluated; 0 wrong controls; 4142 violate mass constrain.
Thu Jun  6 19:35:51 2013, (132170000 clock):	8000 evaluated; 0 wrong controls; 4679 violate mass constrain.
Thu Jun  6 19:36:09 2013, (149830000 clock):	9000 evaluated; 0 wrong controls; 5201 violate mass constrain.
Thu Jun  6 19:36:28 2013, (168260000 clock):	10000 evaluated; 0 wrong controls; 5675 violate mass constrain.
Thu Jun  6 19:36:47 2013, (186620000 clock):	11000 evaluated; 0 wrong controls; 6163 violate mass constrain.
Thu Jun  6 19:37:06 2013, (204740000 clock):	12000 evaluated; 0 wrong controls; 6678 violate mass constrain.
Thu Jun  6 19:37:23 2013, (222210000 clock):	13000 evaluated; 0 wrong controls; 7217 violate mass constrain.
Thu Jun  6 19:37:43 2013, (240780000 clock):	14000 evaluated; 0 wrong controls; 7715 violate mass constrain.
Thu Jun  6 19:38:01 2013, (259030000 clock):	15000 evaluated; 0 wrong controls; 8198 violate mass constrain.
Thu Jun  6 19:38:20 2013, (277260000 clock):	16000 evaluated; 0 wrong controls; 8686 violate mass constrain.
Thu Jun  6 19:38:39 2013, (295530000 clock):	17000 evaluated; 0 wrong controls; 9162 violate mass constrain.
Thu Jun  6 19:38:57 2013, (313230000 clock):	18000 evaluated; 0 wrong controls; 9671 violate mass constrain.
Thu Jun  6 19:39:16 2013, (331090000 clock):	19000 evaluated; 0 wrong controls; 10158 violate mass constrain.
Thu Jun  6 19:39:34 2013, (349200000 clock):	20000 evaluated; 0 wrong controls; 10636 violate mass constrain.
Thu Jun  6 19:39:53 2013, (368070000 clock):	21000 evaluated; 0 wrong controls; 11079 violate mass constrain.
Thu Jun  6 19:40:13 2013, (386370000 clock):	22000 evaluated; 0 wrong controls; 11512 violate mass constrain.
Thu Jun  6 19:40:33 2013, (405340000 clock):	23000 evaluated; 0 wrong controls; 11951 violate mass constrain.
Thu Jun  6 19:40:51 2013, (423150000 clock):	24000 evaluated; 0 wrong controls; 12446 violate mass constrain.
