Thu Jun  6 19:33:33 2013, (0 clock):	Start log file
Thu Jun  6 19:33:33 2013, (0 clock):	Parameters loaded.
Thu Jun  6 19:33:33 2013, (0 clock):	controls:
  bounds:
    - 450
    - -450
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    length: 1000
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW-CONTROLS
  parameters:
    - 3
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Thu Jun  6 19:33:33 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, EEL = 1.65583e+06, EE = 39.1327, EEE = 2.64933e-05, 
Thu Jun  6 19:33:48 2013, (14440000 clock):	1000 evaluated; 0 wrong controls; 689 violate mass constrain.
Thu Jun  6 19:34:04 2013, (29540000 clock):	2000 evaluated; 0 wrong controls; 1352 violate mass constrain.
Thu Jun  6 19:34:21 2013, (45930000 clock):	3000 evaluated; 0 wrong controls; 1932 violate mass constrain.
Thu Jun  6 19:34:38 2013, (62190000 clock):	4000 evaluated; 0 wrong controls; 2530 violate mass constrain.
Thu Jun  6 19:34:54 2013, (77880000 clock):	5000 evaluated; 0 wrong controls; 3145 violate mass constrain.
Thu Jun  6 19:35:08 2013, (90650000 clock):	6000 evaluated; 0 wrong controls; 3934 violate mass constrain.
Thu Jun  6 19:35:22 2013, (104650000 clock):	7000 evaluated; 0 wrong controls; 4634 violate mass constrain.
Thu Jun  6 19:35:37 2013, (118760000 clock):	8000 evaluated; 0 wrong controls; 5326 violate mass constrain.
Thu Jun  6 19:35:53 2013, (133510000 clock):	9000 evaluated; 0 wrong controls; 5988 violate mass constrain.
Thu Jun  6 19:36:09 2013, (149330000 clock):	10000 evaluated; 0 wrong controls; 6615 violate mass constrain.
Thu Jun  6 19:36:25 2013, (164500000 clock):	11000 evaluated; 0 wrong controls; 7253 violate mass constrain.
Thu Jun  6 19:36:41 2013, (180210000 clock):	12000 evaluated; 0 wrong controls; 7878 violate mass constrain.
Thu Jun  6 19:36:57 2013, (195700000 clock):	13000 evaluated; 0 wrong controls; 8496 violate mass constrain.
Thu Jun  6 19:37:13 2013, (210900000 clock):	14000 evaluated; 0 wrong controls; 9118 violate mass constrain.
Thu Jun  6 19:37:31 2013, (226310000 clock):	15000 evaluated; 0 wrong controls; 9764 violate mass constrain.
Thu Jun  6 19:37:47 2013, (242010000 clock):	16000 evaluated; 0 wrong controls; 10386 violate mass constrain.
Thu Jun  6 19:38:04 2013, (257470000 clock):	17000 evaluated; 0 wrong controls; 10989 violate mass constrain.
Thu Jun  6 19:38:20 2013, (273180000 clock):	18000 evaluated; 0 wrong controls; 11616 violate mass constrain.
Thu Jun  6 19:38:36 2013, (288220000 clock):	19000 evaluated; 0 wrong controls; 12226 violate mass constrain.
Thu Jun  6 19:38:52 2013, (304090000 clock):	20000 evaluated; 0 wrong controls; 12843 violate mass constrain.
Thu Jun  6 19:39:08 2013, (319400000 clock):	21000 evaluated; 0 wrong controls; 13485 violate mass constrain.
Thu Jun  6 19:39:24 2013, (334380000 clock):	22000 evaluated; 0 wrong controls; 14096 violate mass constrain.
Thu Jun  6 19:39:42 2013, (350280000 clock):	23000 evaluated; 0 wrong controls; 14696 violate mass constrain.
Thu Jun  6 19:39:59 2013, (366510000 clock):	24000 evaluated; 0 wrong controls; 15301 violate mass constrain.
Thu Jun  6 19:40:17 2013, (382140000 clock):	25000 evaluated; 0 wrong controls; 15909 violate mass constrain.
Thu Jun  6 19:40:34 2013, (397900000 clock):	26000 evaluated; 0 wrong controls; 16515 violate mass constrain.
Thu Jun  6 19:40:51 2013, (414410000 clock):	27000 evaluated; 0 wrong controls; 17119 violate mass constrain.
Thu Jun  6 19:41:08 2013, (430410000 clock):	28000 evaluated; 0 wrong controls; 17710 violate mass constrain.
Thu Jun  6 19:41:26 2013, (445800000 clock):	29000 evaluated; 0 wrong controls; 18319 violate mass constrain.
Thu Jun  6 19:41:42 2013, (461160000 clock):	30000 evaluated; 0 wrong controls; 18926 violate mass constrain.
Thu Jun  6 19:41:58 2013, (476610000 clock):	31000 evaluated; 0 wrong controls; 19540 violate mass constrain.
Thu Jun  6 19:42:15 2013, (492580000 clock):	32000 evaluated; 0 wrong controls; 20137 violate mass constrain.
Thu Jun  6 19:42:31 2013, (508140000 clock):	33000 evaluated; 0 wrong controls; 20760 violate mass constrain.
Thu Jun  6 19:42:47 2013, (523100000 clock):	34000 evaluated; 0 wrong controls; 21366 violate mass constrain.
Thu Jun  6 19:43:03 2013, (537980000 clock):	35000 evaluated; 0 wrong controls; 21996 violate mass constrain.
Thu Jun  6 19:43:19 2013, (553640000 clock):	36000 evaluated; 0 wrong controls; 22587 violate mass constrain.
Thu Jun  6 19:43:35 2013, (568280000 clock):	37000 evaluated; 0 wrong controls; 23233 violate mass constrain.
Thu Jun  6 19:43:52 2013, (584420000 clock):	38000 evaluated; 0 wrong controls; 23843 violate mass constrain.
Thu Jun  6 19:44:08 2013, (600120000 clock):	39000 evaluated; 0 wrong controls; 24443 violate mass constrain.
Thu Jun  6 19:44:24 2013, (614940000 clock):	40000 evaluated; 0 wrong controls; 25067 violate mass constrain.
Thu Jun  6 19:44:39 2013, (629960000 clock):	41000 evaluated; 0 wrong controls; 25702 violate mass constrain.
Thu Jun  6 19:44:57 2013, (646320000 clock):	42000 evaluated; 0 wrong controls; 26298 violate mass constrain.
Thu Jun  6 19:45:13 2013, (662060000 clock):	43000 evaluated; 0 wrong controls; 26916 violate mass constrain.
Thu Jun  6 19:45:29 2013, (677040000 clock):	44000 evaluated; 0 wrong controls; 27570 violate mass constrain.
Thu Jun  6 19:45:46 2013, (693480000 clock):	45000 evaluated; 0 wrong controls; 28165 violate mass constrain.
Thu Jun  6 19:46:03 2013, (709470000 clock):	46000 evaluated; 0 wrong controls; 28758 violate mass constrain.
Thu Jun  6 19:46:20 2013, (725300000 clock):	47000 evaluated; 0 wrong controls; 29372 violate mass constrain.
Thu Jun  6 19:46:35 2013, (739870000 clock):	48000 evaluated; 0 wrong controls; 29998 violate mass constrain.
Thu Jun  6 19:46:51 2013, (755330000 clock):	49000 evaluated; 0 wrong controls; 30637 violate mass constrain.
Thu Jun  6 19:47:07 2013, (770940000 clock):	50000 evaluated; 0 wrong controls; 31226 violate mass constrain.
Thu Jun  6 19:47:24 2013, (786130000 clock):	51000 evaluated; 0 wrong controls; 31847 violate mass constrain.
Thu Jun  6 19:47:40 2013, (801650000 clock):	52000 evaluated; 0 wrong controls; 32454 violate mass constrain.
