Tue Jul 16 13:13:09 2013, (0 clock):	Start log file
Tue Jul 16 13:13:09 2013, (0 clock):	Parameters loaded.
Tue Jul 16 13:13:09 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EEE
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  parameters:
    - 5
    - 4
  type: IDW-CONTROLS
Tue Jul 16 13:13:09 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, EEL = 1.65583e+06, EEE = 2.64933e-05, 
Tue Jul 16 13:13:42 2013, (31770000 clock):	1000 evaluated; 0 wrong controls; 619 violate mass constrain.
Tue Jul 16 13:14:14 2013, (63100000 clock):	2000 evaluated; 0 wrong controls; 1174 violate mass constrain.
Tue Jul 16 13:14:43 2013, (91900000 clock):	3000 evaluated; 0 wrong controls; 1753 violate mass constrain.
Tue Jul 16 13:15:13 2013, (121210000 clock):	4000 evaluated; 0 wrong controls; 2294 violate mass constrain.
Tue Jul 16 13:15:43 2013, (150920000 clock):	5000 evaluated; 0 wrong controls; 2814 violate mass constrain.
Tue Jul 16 13:16:09 2013, (177380000 clock):	6000 evaluated; 0 wrong controls; 3530 violate mass constrain.
Tue Jul 16 13:16:39 2013, (206060000 clock):	7000 evaluated; 0 wrong controls; 4134 violate mass constrain.
Tue Jul 16 13:17:09 2013, (235580000 clock):	8000 evaluated; 0 wrong controls; 4723 violate mass constrain.
Tue Jul 16 13:17:39 2013, (265740000 clock):	9000 evaluated; 0 wrong controls; 5298 violate mass constrain.
Tue Jul 16 13:18:09 2013, (295670000 clock):	10000 evaluated; 0 wrong controls; 5815 violate mass constrain.
Tue Jul 16 13:18:39 2013, (324920000 clock):	11000 evaluated; 0 wrong controls; 6360 violate mass constrain.
Tue Jul 16 13:19:10 2013, (354950000 clock):	12000 evaluated; 0 wrong controls; 6886 violate mass constrain.
Tue Jul 16 13:19:41 2013, (386080000 clock):	13000 evaluated; 0 wrong controls; 7372 violate mass constrain.
Tue Jul 16 13:20:11 2013, (415520000 clock):	14000 evaluated; 0 wrong controls; 7921 violate mass constrain.
Tue Jul 16 13:20:42 2013, (445890000 clock):	15000 evaluated; 0 wrong controls; 8432 violate mass constrain.
Tue Jul 16 13:21:13 2013, (476240000 clock):	16000 evaluated; 0 wrong controls; 8899 violate mass constrain.
Tue Jul 16 13:21:44 2013, (507220000 clock):	17000 evaluated; 0 wrong controls; 9373 violate mass constrain.
Tue Jul 16 13:22:13 2013, (535400000 clock):	18000 evaluated; 0 wrong controls; 9887 violate mass constrain.
Tue Jul 16 13:22:42 2013, (564280000 clock):	19000 evaluated; 0 wrong controls; 10393 violate mass constrain.
Tue Jul 16 13:23:11 2013, (592800000 clock):	20000 evaluated; 0 wrong controls; 10866 violate mass constrain.
Tue Jul 16 13:23:42 2013, (622680000 clock):	21000 evaluated; 0 wrong controls; 11336 violate mass constrain.
Tue Jul 16 13:24:10 2013, (650980000 clock):	22000 evaluated; 0 wrong controls; 11837 violate mass constrain.
Tue Jul 16 13:24:41 2013, (680970000 clock):	23000 evaluated; 0 wrong controls; 12319 violate mass constrain.
Tue Jul 16 13:25:09 2013, (708770000 clock):	24000 evaluated; 0 wrong controls; 12821 violate mass constrain.
Tue Jul 16 13:25:38 2013, (737760000 clock):	25000 evaluated; 0 wrong controls; 13303 violate mass constrain.
Tue Jul 16 13:26:08 2013, (767260000 clock):	26000 evaluated; 0 wrong controls; 13774 violate mass constrain.
Tue Jul 16 13:26:37 2013, (796060000 clock):	27000 evaluated; 0 wrong controls; 14282 violate mass constrain.
Tue Jul 16 13:27:08 2013, (825790000 clock):	28000 evaluated; 0 wrong controls; 14716 violate mass constrain.
Tue Jul 16 13:27:38 2013, (855830000 clock):	29000 evaluated; 0 wrong controls; 15201 violate mass constrain.
Tue Jul 16 13:28:08 2013, (884850000 clock):	30000 evaluated; 0 wrong controls; 15665 violate mass constrain.
Tue Jul 16 13:28:38 2013, (915010000 clock):	31000 evaluated; 0 wrong controls; 16134 violate mass constrain.
Tue Jul 16 13:29:08 2013, (944640000 clock):	32000 evaluated; 0 wrong controls; 16631 violate mass constrain.
Tue Jul 16 13:29:39 2013, (974780000 clock):	33000 evaluated; 0 wrong controls; 17066 violate mass constrain.
Tue Jul 16 13:30:09 2013, (1004340000 clock):	34000 evaluated; 0 wrong controls; 17512 violate mass constrain.
Tue Jul 16 13:30:37 2013, (1032320000 clock):	35000 evaluated; 0 wrong controls; 18024 violate mass constrain.
Tue Jul 16 13:31:07 2013, (1061070000 clock):	36000 evaluated; 0 wrong controls; 18509 violate mass constrain.
Tue Jul 16 13:31:37 2013, (1090550000 clock):	37000 evaluated; 0 wrong controls; 18964 violate mass constrain.
Tue Jul 16 13:32:08 2013, (1121360000 clock):	38000 evaluated; 0 wrong controls; 19422 violate mass constrain.
Tue Jul 16 13:32:38 2013, (1151270000 clock):	39000 evaluated; 0 wrong controls; 19887 violate mass constrain.
Tue Jul 16 13:33:07 2013, (1179580000 clock):	40000 evaluated; 0 wrong controls; 20338 violate mass constrain.
Tue Jul 16 13:33:38 2013, (1210260000 clock):	41000 evaluated; 0 wrong controls; 20787 violate mass constrain.
Tue Jul 16 13:34:08 2013, (1239500000 clock):	42000 evaluated; 0 wrong controls; 21245 violate mass constrain.
Tue Jul 16 13:34:38 2013, (1269120000 clock):	43000 evaluated; 0 wrong controls; 21681 violate mass constrain.
Tue Jul 16 13:35:08 2013, (1298830000 clock):	44000 evaluated; 0 wrong controls; 22147 violate mass constrain.
Tue Jul 16 13:35:38 2013, (1328220000 clock):	45000 evaluated; 0 wrong controls; 22590 violate mass constrain.
Tue Jul 16 13:36:09 2013, (1358420000 clock):	46000 evaluated; 0 wrong controls; 23053 violate mass constrain.
Tue Jul 16 13:36:38 2013, (1387290000 clock):	47000 evaluated; 0 wrong controls; 23521 violate mass constrain.
Tue Jul 16 13:37:07 2013, (1415770000 clock):	48000 evaluated; 0 wrong controls; 23957 violate mass constrain.
Tue Jul 16 13:37:37 2013, (1445520000 clock):	49000 evaluated; 0 wrong controls; 24438 violate mass constrain.
Tue Jul 16 13:38:09 2013, (1476710000 clock):	50000 evaluated; 0 wrong controls; 24867 violate mass constrain.
Tue Jul 16 13:38:40 2013, (1507090000 clock):	51000 evaluated; 0 wrong controls; 25316 violate mass constrain.
Tue Jul 16 13:39:09 2013, (1536090000 clock):	52000 evaluated; 0 wrong controls; 25788 violate mass constrain.
Tue Jul 16 13:39:40 2013, (1565800000 clock):	53000 evaluated; 0 wrong controls; 26260 violate mass constrain.
Tue Jul 16 13:40:09 2013, (1595160000 clock):	54000 evaluated; 0 wrong controls; 26692 violate mass constrain.
Tue Jul 16 13:40:40 2013, (1625400000 clock):	55000 evaluated; 0 wrong controls; 27121 violate mass constrain.
Tue Jul 16 13:41:12 2013, (1656840000 clock):	56000 evaluated; 0 wrong controls; 27553 violate mass constrain.
Tue Jul 16 13:41:42 2013, (1685990000 clock):	57000 evaluated; 0 wrong controls; 27998 violate mass constrain.
Tue Jul 16 13:42:10 2013, (1714030000 clock):	58000 evaluated; 0 wrong controls; 28667 violate mass constrain.
Tue Jul 16 13:42:37 2013, (1740870000 clock):	59000 evaluated; 0 wrong controls; 29358 violate mass constrain.
Tue Jul 16 13:43:06 2013, (1768780000 clock):	60000 evaluated; 0 wrong controls; 29967 violate mass constrain.
Tue Jul 16 13:43:34 2013, (1796380000 clock):	61000 evaluated; 0 wrong controls; 30568 violate mass constrain.
Tue Jul 16 13:44:03 2013, (1824910000 clock):	62000 evaluated; 0 wrong controls; 31124 violate mass constrain.
Tue Jul 16 13:44:31 2013, (1852500000 clock):	63000 evaluated; 0 wrong controls; 31661 violate mass constrain.
Tue Jul 16 13:45:01 2013, (1881960000 clock):	64000 evaluated; 0 wrong controls; 32128 violate mass constrain.
Tue Jul 16 13:45:31 2013, (1911370000 clock):	65000 evaluated; 0 wrong controls; 32588 violate mass constrain.
Tue Jul 16 13:46:02 2013, (1941870000 clock):	66000 evaluated; 0 wrong controls; 33034 violate mass constrain.
Tue Jul 16 13:46:32 2013, (1971500000 clock):	67000 evaluated; 0 wrong controls; 33485 violate mass constrain.
Tue Jul 16 13:47:04 2013, (2002840000 clock):	68000 evaluated; 0 wrong controls; 33919 violate mass constrain.
Tue Jul 16 13:47:34 2013, (2033020000 clock):	69000 evaluated; 0 wrong controls; 34357 violate mass constrain.
Tue Jul 16 13:48:06 2013, (2063400000 clock):	70000 evaluated; 0 wrong controls; 34800 violate mass constrain.
Tue Jul 16 13:48:36 2013, (2092580000 clock):	71000 evaluated; 0 wrong controls; 35244 violate mass constrain.
Tue Jul 16 13:49:06 2013, (2122620000 clock):	72000 evaluated; 0 wrong controls; 35676 violate mass constrain.
Tue Jul 16 13:49:37 2013, (2152390000 clock):	73000 evaluated; 0 wrong controls; 36075 violate mass constrain.
Tue Jul 16 13:50:08 2013, (2182870000 clock):	74000 evaluated; 0 wrong controls; 36487 violate mass constrain.
Tue Jul 16 13:50:39 2013, (2213590000 clock):	75000 evaluated; 0 wrong controls; 36924 violate mass constrain.
Tue Jul 16 13:51:11 2013, (2244750000 clock):	76000 evaluated; 0 wrong controls; 37321 violate mass constrain.
Tue Jul 16 13:51:42 2013, (2275220000 clock):	77000 evaluated; 0 wrong controls; 37741 violate mass constrain.
Tue Jul 16 13:52:13 2013, (2305430000 clock):	78000 evaluated; 0 wrong controls; 38143 violate mass constrain.
Tue Jul 16 13:52:43 2013, (2334420000 clock):	79000 evaluated; 0 wrong controls; 38564 violate mass constrain.
Tue Jul 16 13:53:13 2013, (2363480000 clock):	80000 evaluated; 0 wrong controls; 38996 violate mass constrain.
Tue Jul 16 13:53:43 2013, (2393630000 clock):	81000 evaluated; 0 wrong controls; 39418 violate mass constrain.
Tue Jul 16 13:54:13 2013, (2422940000 clock):	82000 evaluated; 0 wrong controls; 39814 violate mass constrain.
Tue Jul 16 13:54:43 2013, (2451630000 clock):	83000 evaluated; 0 wrong controls; 40274 violate mass constrain.
Tue Jul 16 13:55:13 2013, (2480770000 clock):	84000 evaluated; 0 wrong controls; 40715 violate mass constrain.
Tue Jul 16 13:55:43 2013, (2509920000 clock):	85000 evaluated; 0 wrong controls; 41162 violate mass constrain.
Tue Jul 16 13:56:14 2013, (2539970000 clock):	86000 evaluated; 0 wrong controls; 41547 violate mass constrain.
Tue Jul 16 13:56:44 2013, (2570300000 clock):	87000 evaluated; 0 wrong controls; 41947 violate mass constrain.
Tue Jul 16 13:57:16 2013, (2601560000 clock):	88000 evaluated; 0 wrong controls; 42379 violate mass constrain.
Tue Jul 16 13:57:48 2013, (2632420000 clock):	89000 evaluated; 0 wrong controls; 42760 violate mass constrain.
Tue Jul 16 13:58:20 2013, (2663990000 clock):	90000 evaluated; 0 wrong controls; 43157 violate mass constrain.
Tue Jul 16 13:58:51 2013, (2694040000 clock):	91000 evaluated; 0 wrong controls; 43563 violate mass constrain.
Tue Jul 16 13:59:21 2013, (2724110000 clock):	92000 evaluated; 0 wrong controls; 43980 violate mass constrain.
Tue Jul 16 13:59:56 2013, (2758230000 clock):	93000 evaluated; 0 wrong controls; 44379 violate mass constrain.
Tue Jul 16 14:00:27 2013, (2787730000 clock):	94000 evaluated; 0 wrong controls; 44787 violate mass constrain.
Tue Jul 16 14:00:58 2013, (2817710000 clock):	95000 evaluated; 0 wrong controls; 45226 violate mass constrain.
Tue Jul 16 14:01:29 2013, (2847870000 clock):	96000 evaluated; 0 wrong controls; 45620 violate mass constrain.
