Tue Jun  4 12:23:36 2013, (0 clock):	Start log file
Tue Jun  4 12:23:36 2013, (0 clock):	Parameters loaded.
Tue Jun  4 12:23:36 2013, (0 clock):	controls:
  bounds:
    - 40
    - 0
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    area: 1
    width: 1000
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
interpolator:
  type: IDW
  parameters:
    - 5
    - 15
    - 2
Tue Jun  4 12:23:36 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, EEL = 1.65583e+06, EE = 39.1327, EEE = 2.64933e-05, 
Tue Jun  4 12:23:41 2013, (4470000 clock):	1000 evaluated; 0 wrong controls; 1000 violate mass constrain.
Tue Jun  4 12:23:46 2013, (8820000 clock):	2000 evaluated; 0 wrong controls; 2000 violate mass constrain.
Tue Jun  4 12:23:51 2013, (13120000 clock):	3000 evaluated; 0 wrong controls; 3000 violate mass constrain.
Tue Jun  4 12:23:55 2013, (17540000 clock):	4000 evaluated; 0 wrong controls; 4000 violate mass constrain.
Tue Jun  4 12:24:00 2013, (21840000 clock):	5000 evaluated; 0 wrong controls; 5000 violate mass constrain.
Tue Jun  4 12:24:05 2013, (26280000 clock):	6000 evaluated; 0 wrong controls; 6000 violate mass constrain.
Tue Jun  4 12:24:09 2013, (30630000 clock):	7000 evaluated; 0 wrong controls; 7000 violate mass constrain.
Tue Jun  4 12:24:14 2013, (34930000 clock):	8000 evaluated; 0 wrong controls; 8000 violate mass constrain.
Tue Jun  4 12:24:18 2013, (39280000 clock):	9000 evaluated; 0 wrong controls; 9000 violate mass constrain.
Tue Jun  4 12:24:23 2013, (43600000 clock):	10000 evaluated; 0 wrong controls; 10000 violate mass constrain.
Tue Jun  4 12:24:27 2013, (47430000 clock):	11000 evaluated; 0 wrong controls; 11000 violate mass constrain.
Tue Jun  4 12:24:31 2013, (51140000 clock):	12000 evaluated; 0 wrong controls; 12000 violate mass constrain.
Tue Jun  4 12:24:35 2013, (54790000 clock):	13000 evaluated; 0 wrong controls; 13000 violate mass constrain.
Tue Jun  4 12:24:38 2013, (58370000 clock):	14000 evaluated; 0 wrong controls; 14000 violate mass constrain.
Tue Jun  4 12:24:42 2013, (62160000 clock):	15000 evaluated; 0 wrong controls; 15000 violate mass constrain.
Tue Jun  4 12:24:46 2013, (65820000 clock):	16000 evaluated; 0 wrong controls; 16000 violate mass constrain.
Tue Jun  4 12:24:50 2013, (69520000 clock):	17000 evaluated; 0 wrong controls; 17000 violate mass constrain.
Tue Jun  4 12:24:54 2013, (73130000 clock):	18000 evaluated; 0 wrong controls; 18000 violate mass constrain.
Tue Jun  4 12:24:58 2013, (76860000 clock):	19000 evaluated; 0 wrong controls; 19000 violate mass constrain.
Tue Jun  4 12:25:02 2013, (80520000 clock):	20000 evaluated; 0 wrong controls; 20000 violate mass constrain.
Tue Jun  4 12:25:06 2013, (84130000 clock):	21000 evaluated; 0 wrong controls; 21000 violate mass constrain.
Tue Jun  4 12:25:10 2013, (87800000 clock):	22000 evaluated; 0 wrong controls; 22000 violate mass constrain.
Tue Jun  4 12:25:14 2013, (91670000 clock):	23000 evaluated; 0 wrong controls; 23000 violate mass constrain.
Tue Jun  4 12:25:17 2013, (95400000 clock):	24000 evaluated; 0 wrong controls; 24000 violate mass constrain.
Tue Jun  4 12:25:21 2013, (98970000 clock):	25000 evaluated; 0 wrong controls; 25000 violate mass constrain.
Tue Jun  4 12:25:25 2013, (102570000 clock):	26000 evaluated; 0 wrong controls; 26000 violate mass constrain.
Tue Jun  4 12:25:29 2013, (106200000 clock):	27000 evaluated; 0 wrong controls; 27000 violate mass constrain.
Tue Jun  4 12:25:33 2013, (109860000 clock):	28000 evaluated; 0 wrong controls; 28000 violate mass constrain.
Tue Jun  4 12:25:37 2013, (113590000 clock):	29000 evaluated; 0 wrong controls; 29000 violate mass constrain.
Tue Jun  4 12:25:41 2013, (117230000 clock):	30000 evaluated; 0 wrong controls; 30000 violate mass constrain.
Tue Jun  4 12:25:44 2013, (120840000 clock):	31000 evaluated; 0 wrong controls; 31000 violate mass constrain.
