#
#   Running algorithm GDE3 on 20000000 nfe, with population size of 900.0, with de set to 0.9, 0.9, with 81 controls varying between 1.0 and 39.0 for cell (6,6).
1 39 1 4 2 14 3 1 5 2 6 10 1 13 5 1 2 1 35 1 10 13 39 4 4 1 1 3 1 39 2 3 1 5 1 2 1 1 7 2 19 4 22 2 7 1 3 20 33 1 1 1 1 14 9 13 1 1 9 1 5 10 1 1 1 5 3 15 1 1 1 1 5 1 6 5 1 13 3 3 1 7614959.664552415 5.587041685125002E7 9.073824116484314 0.0036656186314710476 0.0 
1 20 6 3 2 1 1 1 7 1 22 4 1 3 4 1 1 4 26 6 1 1 16 15 1 13 2 1 11 39 7 1 19 1 1 15 4 12 4 3 35 1 1 3 1 1 6 1 1 13 1 32 4 1 34 1 13 1 21 1 1 1 37 1 5 1 3 1 4 1 2 1 10 3 2 1 5 1 1 1 1 8534565.411815451 1.1205483629332912E8 7.913535114300432 0.0027575404534306834 0.0 
1 7 1 6 5 1 8 5 3 3 1 3 1 3 10 1 1 3 18 24 13 3 27 21 1 1 6 6 30 39 1 6 1 1 8 1 10 1 3 5 13 6 35 5 1 1 5 25 1 7 1 18 1 1 18 1 6 1 1 3 1 7 7 1 1 1 1 1 36 1 1 13 1 3 1 1 4 1 1 4 5 7576031.931353816 5.091030338904659E7 10.096023988369357 0.003546290890806811 0.0 
4 8 6 7 10 5 1 1 16 1 1 1 2 1 12 22 12 1 7 5 9 16 39 1 2 1 3 4 1 1 1 1 6 3 1 1 1 1 1 1 8 10 1 1 2 3 1 19 1 11 2 5 9 4 29 1 6 2 7 9 5 18 39 25 8 1 1 15 4 3 8 1 1 4 22 4 4 1 2 9 1 7935897.196045551 3.9449067987508655E7 10.910746226124447 0.0038297276096886544 0.0 
5 7 1 1 1 5 1 1 2 1 15 13 1 39 4 5 2 9 1 1 14 3 4 17 8 3 1 3 1 39 22 18 1 3 4 1 1 1 1 1 3 19 3 4 1 5 2 1 4 1 1 10 1 1 12 36 1 3 39 24 6 1 1 2 4 1 1 5 1 3 23 1 1 1 1 18 1 2 4 9 19 7423045.250473822 5.232679698081574E7 9.27617554868638 0.0035436915151663938 0.0 
4 1 1 8 1 1 1 4 7 5 12 3 5 1 3 35 13 19 1 22 1 15 2 6 1 1 1 10 33 2 27 1 1 10 1 1 1 2 1 1 1 27 12 1 3 1 15 1 1 9 25 5 4 1 9 3 1 1 19 7 21 19 1 1 3 2 2 1 3 7 10 3 9 1 1 3 3 23 8 1 6 8070403.906315954 5.0126498251866296E7 8.862915718402354 0.0034409196512244934 0.0 
3 1 5 4 1 3 1 20 1 1 12 1 1 1 3 3 5 1 1 25 1 18 1 37 1 1 18 1 1 14 1 4 1 5 21 1 1 1 1 1 5 1 39 6 3 22 2 5 39 30 1 5 1 2 1 1 10 1 13 1 21 3 1 1 22 16 2 19 3 1 1 1 1 1 4 1 5 19 1 1 1 8430686.37639931 7.662991702377392E7 7.679308970032359 0.003234361000946569 0.0 
1 1 6 1 1 6 1 1 2 1 6 1 2 21 1 8 2 1 1 13 21 16 2 1 7 13 5 1 17 1 1 39 8 2 1 13 2 6 1 4 5 6 5 12 2 12 1 26 9 2 7 3 1 1 1 1 1 35 31 16 5 1 1 1 5 15 2 6 19 3 2 1 3 1 39 6 1 1 1 5 5 8261012.579426902 6.771106448383854E7 8.781243469086034 0.0029048231196404065 0.0 
2 39 1 7 7 15 1 1 8 6 5 1 8 1 1 1 10 1 5 7 3 16 22 1 1 1 14 4 1 1 1 1 1 1 2 1 5 29 4 2 30 1 5 1 10 1 1 5 23 2 1 1 7 1 23 1 17 1 1 1 34 39 20 1 3 15 1 1 1 2 1 1 4 4 5 1 4 12 3 1 1 1.013172187269905E7 1.7573325231890962E8 6.338408726851228 0.003483002671411508 0.0 
4 1 1 1 2 15 1 31 7 13 5 6 8 20 1 13 1 10 5 1 1 1 22 1 1 3 1 1 1 1 5 1 6 1 2 29 5 8 3 2 31 17 5 1 3 1 1 15 1 3 1 16 21 1 1 1 10 1 1 1 39 9 20 3 1 1 1 28 4 6 5 1 4 4 1 14 1 1 3 2 2 8784734.616250029 7.746476478686751E7 7.969605032480529 0.0029181239807300006 0.0 
8 37 1 1 1 9 1 1 10 1 1 1 1 16 18 3 2 1 5 15 5 1 5 5 12 1 1 1 1 39 9 1 1 4 1 2 1 6 1 1 19 1 5 8 1 6 2 1 1 27 22 8 1 1 18 3 1 1 1 1 8 1 25 2 2 5 39 39 1 1 1 9 1 1 1 5 6 6 23 1 1 8042708.398743355 8.636060076583242E7 8.40261462009542 0.003014962416632521 0.0 
4 1 9 2 3 2 1 19 4 1 14 1 6 1 23 12 8 1 1 1 21 11 16 4 12 22 8 1 3 1 5 16 9 1 1 2 1 1 4 1 1 15 6 8 1 4 2 35 1 31 22 6 16 9 18 1 1 4 1 12 23 1 1 10 1 6 1 1 1 14 1 1 2 4 6 1 1 4 1 1 5 7320646.193713251 4.2017511933825776E7 10.207347007607943 0.0038587159091793507 0.0 
1 1 12 2 1 1 1 10 6 3 14 11 5 1 3 1 28 1 9 1 13 1 12 4 1 1 8 2 1 39 32 5 5 1 1 1 8 1 21 8 27 12 33 8 8 7 1 1 12 12 1 2 1 1 6 16 26 15 1 10 1 12 3 5 1 7 1 5 1 1 1 6 2 1 4 4 2 1 1 1 6 7479432.406034239 4.737123028034245E7 10.37385626514151 0.00375438244515534 0.0 
3 1 1 7 1 1 20 10 1 1 5 1 1 1 4 15 28 4 27 22 27 1 11 3 1 1 13 1 6 11 1 1 17 5 14 2 1 1 13 9 1 14 14 11 1 1 2 29 8 12 1 2 4 3 1 18 8 1 15 1 32 5 5 12 1 2 1 1 1 1 8 1 6 1 1 2 1 1 1 14 1 7420876.296259515 6.159917976524645E7 10.024748689379779 0.0035177901481741455 0.0 
1 1 13 1 1 12 11 1 2 2 1 14 1 1 10 1 1 2 15 17 8 22 39 3 1 1 1 5 6 39 1 3 1 8 1 1 1 1 3 4 39 4 29 10 2 1 10 3 4 1 1 5 4 3 26 1 5 4 1 1 32 1 14 1 1 3 2 1 2 1 5 1 1 1 1 2 1 32 18 1 10 7952039.208233243 6.384893573603602E7 9.63609268499947 0.00310171985865686 0.0 
1 1 1 1 8 1 4 1 2 11 8 2 1 1 4 31 1 1 1 1 3 15 1 39 1 1 1 1 19 4 3 39 1 4 9 2 1 1 1 2 39 2 39 6 7 1 1 7 1 1 17 9 1 2 22 1 1 1 17 1 39 1 1 6 1 1 6 23 11 1 8 1 4 1 6 6 1 1 1 2 9 7747134.492929102 6.2474344004089475E7 7.872563042374757 0.0032044751322462266 0.0 
2 1 12 7 2 1 1 1 3 1 1 3 1 1 4 2 1 1 1 1 1 4 5 1 2 1 7 1 1 14 7 30 1 4 12 4 18 6 6 1 35 1 39 5 4 1 1 30 39 1 8 7 1 3 1 10 2 1 2 1 5 1 1 1 1 6 39 39 11 1 8 1 4 22 6 8 1 1 11 2 5 7712797.231230105 5.224791488659849E7 8.840970098381632 0.0031488625874290846 0.0 
1 1 1 10 11 12 17 1 7 1 1 1 1 30 1 4 1 1 8 1 1 19 22 21 1 2 1 8 6 1 1 3 1 4 1 1 1 1 14 5 1 39 6 3 3 26 1 39 1 1 1 5 7 19 11 13 1 1 1 1 23 1 4 4 1 3 26 24 11 5 1 1 1 1 1 5 6 1 7 1 6 7933113.2039545495 6.817713803743488E7 10.421265248174183 0.003069261803478625 0.0 
2 1 9 4 1 5 4 1 1 2 14 1 1 1 13 1 5 2 1 21 1 16 8 33 8 2 10 1 1 16 22 3 1 6 12 1 3 20 1 1 27 1 38 7 4 11 6 1 34 1 6 4 1 2 1 8 15 1 12 1 25 1 1 1 11 4 4 24 1 1 4 1 1 5 2 1 1 1 1 1 10 7855842.479064756 5.394825454280496E7 8.27541901532751 0.003301892906095951 0.0 
1 39 6 4 10 4 1 1 14 7 1 1 1 13 11 3 2 1 27 3 1 7 1 13 1 1 1 2 3 1 1 1 7 7 3 2 5 3 1 1 8 1 7 1 6 1 5 1 22 1 1 4 5 8 39 1 19 16 6 24 14 6 1 1 1 4 16 22 1 1 11 1 10 6 4 6 1 16 7 1 2 9643204.33164765 1.8870924750705826E8 7.107631179919819 0.0025415084124750056 0.0 
