Tue Jun 11 16:30:02 2013, (0 clock):	Start log file
Tue Jun 11 16:30:02 2013, (0 clock):	Parameters loaded.
Tue Jun 11 16:30:02 2013, (0 clock):	controls:
  bounds:
    - 200
    - 0
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    length: 1000
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW
  parameters:
    - 5
    - 15
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Tue Jun 11 16:30:02 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, EEL = 1.65583e+06, EE = 39.1327, EEE = 2.64933e-05, 
Tue Jun 11 16:30:09 2013, (5050000 clock):	1000 evaluated; 0 wrong controls; 1000 violate mass constrain.
Tue Jun 11 16:30:14 2013, (10380000 clock):	2000 evaluated; 0 wrong controls; 2000 violate mass constrain.
Tue Jun 11 16:30:21 2013, (17060000 clock):	3000 evaluated; 0 wrong controls; 3000 violate mass constrain.
Tue Jun 11 16:30:29 2013, (23840000 clock):	4000 evaluated; 0 wrong controls; 4000 violate mass constrain.
Tue Jun 11 16:30:45 2013, (39600000 clock):	5000 evaluated; 0 wrong controls; 4767 violate mass constrain.
Tue Jun 11 16:31:00 2013, (54450000 clock):	6000 evaluated; 0 wrong controls; 5484 violate mass constrain.
Tue Jun 11 16:31:21 2013, (74290000 clock):	7000 evaluated; 0 wrong controls; 6058 violate mass constrain.
Tue Jun 11 16:31:39 2013, (92040000 clock):	8000 evaluated; 0 wrong controls; 6658 violate mass constrain.
Tue Jun 11 16:31:55 2013, (107850000 clock):	9000 evaluated; 0 wrong controls; 7311 violate mass constrain.
Tue Jun 11 16:32:07 2013, (119540000 clock):	10000 evaluated; 0 wrong controls; 7961 violate mass constrain.
Tue Jun 11 16:32:20 2013, (132140000 clock):	11000 evaluated; 0 wrong controls; 8585 violate mass constrain.
Tue Jun 11 16:32:32 2013, (143980000 clock):	12000 evaluated; 0 wrong controls; 9252 violate mass constrain.
Tue Jun 11 16:32:45 2013, (156570000 clock):	13000 evaluated; 0 wrong controls; 9919 violate mass constrain.
Tue Jun 11 16:32:59 2013, (169900000 clock):	14000 evaluated; 0 wrong controls; 10572 violate mass constrain.
Tue Jun 11 16:33:11 2013, (181800000 clock):	15000 evaluated; 0 wrong controls; 11241 violate mass constrain.
Tue Jun 11 16:33:25 2013, (195220000 clock):	16000 evaluated; 0 wrong controls; 11908 violate mass constrain.
Tue Jun 11 16:33:37 2013, (206780000 clock):	17000 evaluated; 0 wrong controls; 12552 violate mass constrain.
Tue Jun 11 16:33:48 2013, (217660000 clock):	18000 evaluated; 0 wrong controls; 13223 violate mass constrain.
Tue Jun 11 16:34:00 2013, (229410000 clock):	19000 evaluated; 0 wrong controls; 13893 violate mass constrain.
Tue Jun 11 16:34:13 2013, (241970000 clock):	20000 evaluated; 0 wrong controls; 14564 violate mass constrain.
Tue Jun 11 16:34:25 2013, (253630000 clock):	21000 evaluated; 0 wrong controls; 15231 violate mass constrain.
Tue Jun 11 16:34:36 2013, (263710000 clock):	22000 evaluated; 0 wrong controls; 16030 violate mass constrain.
Tue Jun 11 16:34:43 2013, (270620000 clock):	23000 evaluated; 0 wrong controls; 17030 violate mass constrain.
Tue Jun 11 16:34:48 2013, (275600000 clock):	24000 evaluated; 0 wrong controls; 17974 violate mass constrain.
Tue Jun 11 16:34:54 2013, (281100000 clock):	25000 evaluated; 0 wrong controls; 18904 violate mass constrain.
Tue Jun 11 16:35:03 2013, (288580000 clock):	26000 evaluated; 0 wrong controls; 19789 violate mass constrain.
Tue Jun 11 16:35:09 2013, (295170000 clock):	27000 evaluated; 0 wrong controls; 20629 violate mass constrain.
Tue Jun 11 16:35:19 2013, (302900000 clock):	28000 evaluated; 0 wrong controls; 21434 violate mass constrain.
Tue Jun 11 16:35:28 2013, (312600000 clock):	29000 evaluated; 0 wrong controls; 22128 violate mass constrain.
Tue Jun 11 16:35:40 2013, (322810000 clock):	30000 evaluated; 0 wrong controls; 22840 violate mass constrain.
Tue Jun 11 16:35:51 2013, (333060000 clock):	31000 evaluated; 0 wrong controls; 23511 violate mass constrain.
Tue Jun 11 16:36:02 2013, (344070000 clock):	32000 evaluated; 0 wrong controls; 24206 violate mass constrain.
Tue Jun 11 16:36:14 2013, (355450000 clock):	33000 evaluated; 0 wrong controls; 24895 violate mass constrain.
Tue Jun 11 16:36:24 2013, (365330000 clock):	34000 evaluated; 0 wrong controls; 25567 violate mass constrain.
Tue Jun 11 16:36:37 2013, (375990000 clock):	35000 evaluated; 0 wrong controls; 26209 violate mass constrain.
