Wed Jun  5 13:58:13 2013, (0 clock):	Start log file
Wed Jun  5 13:58:13 2013, (0 clock):	Parameters loaded.
Wed Jun  5 13:58:13 2013, (0 clock):	controls:
  bounds:
    - 400
    - 0
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    area: 1
    width: 1000
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
interpolator:
  type: IDW
  parameters:
    - 5
    - 15
    - 2
Wed Jun  5 13:58:13 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, EEL = 1.65583e+06, EE = 39.1327, EEE = 2.64933e-05, 
Wed Jun  5 13:58:17 2013, (3810000 clock):	1000 evaluated; 0 wrong controls; 1000 violate mass constrain.
Wed Jun  5 13:58:22 2013, (7710000 clock):	2000 evaluated; 0 wrong controls; 2000 violate mass constrain.
Wed Jun  5 13:58:26 2013, (11550000 clock):	3000 evaluated; 0 wrong controls; 3000 violate mass constrain.
Wed Jun  5 13:58:30 2013, (15480000 clock):	4000 evaluated; 0 wrong controls; 4000 violate mass constrain.
Wed Jun  5 13:58:34 2013, (19190000 clock):	5000 evaluated; 0 wrong controls; 5000 violate mass constrain.
Wed Jun  5 13:58:38 2013, (22940000 clock):	6000 evaluated; 0 wrong controls; 6000 violate mass constrain.
Wed Jun  5 13:58:42 2013, (26800000 clock):	7000 evaluated; 0 wrong controls; 7000 violate mass constrain.
Wed Jun  5 13:58:47 2013, (30560000 clock):	8000 evaluated; 0 wrong controls; 8000 violate mass constrain.
Wed Jun  5 13:58:51 2013, (34370000 clock):	9000 evaluated; 0 wrong controls; 9000 violate mass constrain.
Wed Jun  5 13:58:55 2013, (38350000 clock):	10000 evaluated; 0 wrong controls; 10000 violate mass constrain.
Wed Jun  5 13:58:59 2013, (42070000 clock):	11000 evaluated; 0 wrong controls; 11000 violate mass constrain.
Wed Jun  5 13:59:03 2013, (45790000 clock):	12000 evaluated; 0 wrong controls; 12000 violate mass constrain.
Wed Jun  5 13:59:07 2013, (49440000 clock):	13000 evaluated; 0 wrong controls; 13000 violate mass constrain.
Wed Jun  5 13:59:11 2013, (53230000 clock):	14000 evaluated; 0 wrong controls; 14000 violate mass constrain.
Wed Jun  5 13:59:15 2013, (56990000 clock):	15000 evaluated; 0 wrong controls; 15000 violate mass constrain.
Wed Jun  5 13:59:19 2013, (60770000 clock):	16000 evaluated; 0 wrong controls; 16000 violate mass constrain.
Wed Jun  5 13:59:23 2013, (64610000 clock):	17000 evaluated; 0 wrong controls; 17000 violate mass constrain.
Wed Jun  5 13:59:27 2013, (68420000 clock):	18000 evaluated; 0 wrong controls; 18000 violate mass constrain.
Wed Jun  5 13:59:31 2013, (72170000 clock):	19000 evaluated; 0 wrong controls; 19000 violate mass constrain.
Wed Jun  5 13:59:35 2013, (75990000 clock):	20000 evaluated; 0 wrong controls; 20000 violate mass constrain.
Wed Jun  5 13:59:39 2013, (79740000 clock):	21000 evaluated; 0 wrong controls; 21000 violate mass constrain.
Wed Jun  5 13:59:43 2013, (83530000 clock):	22000 evaluated; 0 wrong controls; 22000 violate mass constrain.
Wed Jun  5 13:59:47 2013, (87340000 clock):	23000 evaluated; 0 wrong controls; 23000 violate mass constrain.
Wed Jun  5 13:59:51 2013, (91030000 clock):	24000 evaluated; 0 wrong controls; 24000 violate mass constrain.
Wed Jun  5 13:59:55 2013, (94720000 clock):	25000 evaluated; 0 wrong controls; 25000 violate mass constrain.
Wed Jun  5 13:59:59 2013, (98550000 clock):	26000 evaluated; 0 wrong controls; 26000 violate mass constrain.
Wed Jun  5 14:00:03 2013, (102320000 clock):	27000 evaluated; 0 wrong controls; 27000 violate mass constrain.
Wed Jun  5 14:00:07 2013, (106010000 clock):	28000 evaluated; 0 wrong controls; 28000 violate mass constrain.
Wed Jun  5 14:00:11 2013, (109720000 clock):	29000 evaluated; 0 wrong controls; 29000 violate mass constrain.
Wed Jun  5 14:00:15 2013, (113660000 clock):	30000 evaluated; 0 wrong controls; 30000 violate mass constrain.
Wed Jun  5 14:00:19 2013, (117480000 clock):	31000 evaluated; 0 wrong controls; 31000 violate mass constrain.
Wed Jun  5 14:00:23 2013, (121220000 clock):	32000 evaluated; 0 wrong controls; 32000 violate mass constrain.
Wed Jun  5 14:00:27 2013, (124940000 clock):	33000 evaluated; 0 wrong controls; 33000 violate mass constrain.
Wed Jun  5 14:00:31 2013, (128590000 clock):	34000 evaluated; 0 wrong controls; 34000 violate mass constrain.
Wed Jun  5 14:00:35 2013, (132370000 clock):	35000 evaluated; 0 wrong controls; 35000 violate mass constrain.
Wed Jun  5 14:00:39 2013, (136160000 clock):	36000 evaluated; 0 wrong controls; 36000 violate mass constrain.
Wed Jun  5 14:00:43 2013, (139930000 clock):	37000 evaluated; 0 wrong controls; 37000 violate mass constrain.
Wed Jun  5 14:00:47 2013, (143690000 clock):	38000 evaluated; 0 wrong controls; 38000 violate mass constrain.
Wed Jun  5 14:00:51 2013, (147400000 clock):	39000 evaluated; 0 wrong controls; 39000 violate mass constrain.
Wed Jun  5 14:00:55 2013, (151150000 clock):	40000 evaluated; 0 wrong controls; 40000 violate mass constrain.
Wed Jun  5 14:00:59 2013, (155040000 clock):	41000 evaluated; 0 wrong controls; 41000 violate mass constrain.
Wed Jun  5 14:01:04 2013, (158890000 clock):	42000 evaluated; 0 wrong controls; 42000 violate mass constrain.
Wed Jun  5 14:01:07 2013, (162580000 clock):	43000 evaluated; 0 wrong controls; 43000 violate mass constrain.
Wed Jun  5 14:01:11 2013, (166360000 clock):	44000 evaluated; 0 wrong controls; 44000 violate mass constrain.
Wed Jun  5 14:01:16 2013, (170280000 clock):	45000 evaluated; 0 wrong controls; 45000 violate mass constrain.
Wed Jun  5 14:01:20 2013, (174060000 clock):	46000 evaluated; 0 wrong controls; 46000 violate mass constrain.
Wed Jun  5 14:01:24 2013, (177810000 clock):	47000 evaluated; 0 wrong controls; 47000 violate mass constrain.
Wed Jun  5 14:01:28 2013, (181640000 clock):	48000 evaluated; 0 wrong controls; 48000 violate mass constrain.
Wed Jun  5 14:01:32 2013, (185350000 clock):	49000 evaluated; 0 wrong controls; 49000 violate mass constrain.
Wed Jun  5 14:01:36 2013, (189110000 clock):	50000 evaluated; 0 wrong controls; 50000 violate mass constrain.
Wed Jun  5 14:01:40 2013, (192820000 clock):	51000 evaluated; 0 wrong controls; 51000 violate mass constrain.
Wed Jun  5 14:01:44 2013, (196590000 clock):	52000 evaluated; 0 wrong controls; 52000 violate mass constrain.
Wed Jun  5 14:01:48 2013, (200460000 clock):	53000 evaluated; 0 wrong controls; 53000 violate mass constrain.
Wed Jun  5 14:01:52 2013, (204130000 clock):	54000 evaluated; 0 wrong controls; 54000 violate mass constrain.
Wed Jun  5 14:01:56 2013, (207900000 clock):	55000 evaluated; 0 wrong controls; 55000 violate mass constrain.
Wed Jun  5 14:02:00 2013, (211650000 clock):	56000 evaluated; 0 wrong controls; 56000 violate mass constrain.
Wed Jun  5 14:02:04 2013, (215410000 clock):	57000 evaluated; 0 wrong controls; 57000 violate mass constrain.
Wed Jun  5 14:02:08 2013, (219170000 clock):	58000 evaluated; 0 wrong controls; 58000 violate mass constrain.
Wed Jun  5 14:02:12 2013, (222870000 clock):	59000 evaluated; 0 wrong controls; 59000 violate mass constrain.
Wed Jun  5 14:02:16 2013, (226660000 clock):	60000 evaluated; 0 wrong controls; 60000 violate mass constrain.
Wed Jun  5 14:02:20 2013, (230500000 clock):	61000 evaluated; 0 wrong controls; 61000 violate mass constrain.
