Wed Jun 12 19:19:54 2013, (0 clock):	Start log file
Wed Jun 12 19:19:54 2013, (0 clock):	Parameters loaded.
Wed Jun 12 19:19:54 2013, (0 clock):	controls:
  bounds:
    - 200
    - 0
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    length: 1000
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW
  parameters:
    - 5
    - 15
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Wed Jun 12 19:19:54 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, EEL = 1.65583e+06, EE = 39.1327, EEE = 2.64933e-05, 
Wed Jun 12 19:19:59 2013, (4100000 clock):	1000 evaluated; 0 wrong controls; 1000 violate mass constrain.
Wed Jun 12 19:20:03 2013, (8350000 clock):	2000 evaluated; 0 wrong controls; 2000 violate mass constrain.
Wed Jun 12 19:20:07 2013, (12380000 clock):	3000 evaluated; 0 wrong controls; 3000 violate mass constrain.
Wed Jun 12 19:20:12 2013, (16460000 clock):	4000 evaluated; 0 wrong controls; 4000 violate mass constrain.
Wed Jun 12 19:20:16 2013, (20670000 clock):	5000 evaluated; 0 wrong controls; 5000 violate mass constrain.
Wed Jun 12 19:20:21 2013, (24750000 clock):	6000 evaluated; 0 wrong controls; 6000 violate mass constrain.
Wed Jun 12 19:20:25 2013, (28900000 clock):	7000 evaluated; 0 wrong controls; 7000 violate mass constrain.
Wed Jun 12 19:20:29 2013, (32960000 clock):	8000 evaluated; 0 wrong controls; 8000 violate mass constrain.
Wed Jun 12 19:20:34 2013, (37150000 clock):	9000 evaluated; 0 wrong controls; 9000 violate mass constrain.
Wed Jun 12 19:20:38 2013, (41300000 clock):	10000 evaluated; 0 wrong controls; 10000 violate mass constrain.
Wed Jun 12 19:20:42 2013, (45250000 clock):	11000 evaluated; 0 wrong controls; 11000 violate mass constrain.
Wed Jun 12 19:20:46 2013, (49280000 clock):	12000 evaluated; 0 wrong controls; 12000 violate mass constrain.
Wed Jun 12 19:20:50 2013, (53240000 clock):	13000 evaluated; 0 wrong controls; 13000 violate mass constrain.
Wed Jun 12 19:20:54 2013, (57130000 clock):	14000 evaluated; 0 wrong controls; 14000 violate mass constrain.
Wed Jun 12 19:20:59 2013, (61220000 clock):	15000 evaluated; 0 wrong controls; 15000 violate mass constrain.
Wed Jun 12 19:21:03 2013, (65330000 clock):	16000 evaluated; 0 wrong controls; 16000 violate mass constrain.
Wed Jun 12 19:21:07 2013, (69520000 clock):	17000 evaluated; 0 wrong controls; 17000 violate mass constrain.
Wed Jun 12 19:21:11 2013, (73490000 clock):	18000 evaluated; 0 wrong controls; 18000 violate mass constrain.
Wed Jun 12 19:21:15 2013, (77430000 clock):	19000 evaluated; 0 wrong controls; 19000 violate mass constrain.
Wed Jun 12 19:21:20 2013, (81680000 clock):	20000 evaluated; 0 wrong controls; 20000 violate mass constrain.
Wed Jun 12 19:21:24 2013, (85750000 clock):	21000 evaluated; 0 wrong controls; 21000 violate mass constrain.
Wed Jun 12 19:21:29 2013, (90140000 clock):	22000 evaluated; 0 wrong controls; 22000 violate mass constrain.
Wed Jun 12 19:21:33 2013, (94230000 clock):	23000 evaluated; 0 wrong controls; 23000 violate mass constrain.
Wed Jun 12 19:21:37 2013, (98270000 clock):	24000 evaluated; 0 wrong controls; 24000 violate mass constrain.
Wed Jun 12 19:21:41 2013, (102330000 clock):	25000 evaluated; 0 wrong controls; 25000 violate mass constrain.
Wed Jun 12 19:21:45 2013, (106210000 clock):	26000 evaluated; 0 wrong controls; 26000 violate mass constrain.
Wed Jun 12 19:21:49 2013, (110130000 clock):	27000 evaluated; 0 wrong controls; 27000 violate mass constrain.
Wed Jun 12 19:21:53 2013, (114030000 clock):	28000 evaluated; 0 wrong controls; 28000 violate mass constrain.
Wed Jun 12 19:21:57 2013, (117960000 clock):	29000 evaluated; 0 wrong controls; 29000 violate mass constrain.
Wed Jun 12 19:22:01 2013, (121830000 clock):	30000 evaluated; 0 wrong controls; 30000 violate mass constrain.
Wed Jun 12 19:22:06 2013, (125740000 clock):	31000 evaluated; 0 wrong controls; 31000 violate mass constrain.
Wed Jun 12 19:22:10 2013, (129610000 clock):	32000 evaluated; 0 wrong controls; 32000 violate mass constrain.
Wed Jun 12 19:22:14 2013, (133460000 clock):	33000 evaluated; 0 wrong controls; 33000 violate mass constrain.
Wed Jun 12 19:22:18 2013, (137520000 clock):	34000 evaluated; 0 wrong controls; 34000 violate mass constrain.
Wed Jun 12 19:22:22 2013, (141650000 clock):	35000 evaluated; 0 wrong controls; 35000 violate mass constrain.
Wed Jun 12 19:22:26 2013, (145550000 clock):	36000 evaluated; 0 wrong controls; 36000 violate mass constrain.
Wed Jun 12 19:22:30 2013, (149500000 clock):	37000 evaluated; 0 wrong controls; 37000 violate mass constrain.
Wed Jun 12 19:22:34 2013, (153360000 clock):	38000 evaluated; 0 wrong controls; 38000 violate mass constrain.
Wed Jun 12 19:22:38 2013, (157250000 clock):	39000 evaluated; 0 wrong controls; 39000 violate mass constrain.
Wed Jun 12 19:22:42 2013, (161100000 clock):	40000 evaluated; 0 wrong controls; 40000 violate mass constrain.
Wed Jun 12 19:22:46 2013, (165080000 clock):	41000 evaluated; 0 wrong controls; 41000 violate mass constrain.
Wed Jun 12 19:22:50 2013, (169130000 clock):	42000 evaluated; 0 wrong controls; 42000 violate mass constrain.
Wed Jun 12 19:22:55 2013, (173320000 clock):	43000 evaluated; 0 wrong controls; 43000 violate mass constrain.
Wed Jun 12 19:22:59 2013, (177270000 clock):	44000 evaluated; 0 wrong controls; 44000 violate mass constrain.
Wed Jun 12 19:23:03 2013, (181310000 clock):	45000 evaluated; 0 wrong controls; 45000 violate mass constrain.
Wed Jun 12 19:23:07 2013, (185220000 clock):	46000 evaluated; 0 wrong controls; 46000 violate mass constrain.
Wed Jun 12 19:23:11 2013, (188990000 clock):	47000 evaluated; 0 wrong controls; 47000 violate mass constrain.
Wed Jun 12 19:23:15 2013, (192830000 clock):	48000 evaluated; 0 wrong controls; 48000 violate mass constrain.
