Sat Jul  6 09:28:11 2013, (0 clock):	Start log file
Sat Jul  6 09:28:11 2013, (0 clock):	Parameters loaded.
Sat Jul  6 09:28:11 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
interpolator:
  parameters:
    - 3
    - 4
  type: IDW-CONTROLS
Sat Jul  6 09:28:11 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Sat Jul  6 09:29:37 2013, (84370000 clock):	1000 evaluated; 0 wrong controls; 373 violate mass constrain.
Sat Jul  6 09:31:03 2013, (169670000 clock):	2000 evaluated; 0 wrong controls; 605 violate mass constrain.
Sat Jul  6 09:32:38 2013, (263900000 clock):	3000 evaluated; 0 wrong controls; 736 violate mass constrain.
Sat Jul  6 09:34:12 2013, (356840000 clock):	4000 evaluated; 0 wrong controls; 798 violate mass constrain.
Sat Jul  6 09:35:50 2013, (454200000 clock):	5000 evaluated; 0 wrong controls; 808 violate mass constrain.
Sat Jul  6 09:37:14 2013, (537950000 clock):	6000 evaluated; 0 wrong controls; 1231 violate mass constrain.
Sat Jul  6 09:38:43 2013, (626840000 clock):	7000 evaluated; 0 wrong controls; 1289 violate mass constrain.
Sat Jul  6 09:40:13 2013, (715430000 clock):	8000 evaluated; 0 wrong controls; 1294 violate mass constrain.
Sat Jul  6 09:41:39 2013, (801610000 clock):	9000 evaluated; 0 wrong controls; 1294 violate mass constrain.
Sat Jul  6 09:43:08 2013, (889490000 clock):	10000 evaluated; 0 wrong controls; 1294 violate mass constrain.
Sat Jul  6 09:44:31 2013, (972720000 clock):	11000 evaluated; 0 wrong controls; 1296 violate mass constrain.
Sat Jul  6 09:45:54 2013, (1054430000 clock):	12000 evaluated; 0 wrong controls; 1296 violate mass constrain.
Sat Jul  6 09:47:15 2013, (1135710000 clock):	13000 evaluated; 0 wrong controls; 1296 violate mass constrain.
Sat Jul  6 09:48:39 2013, (1218690000 clock):	14000 evaluated; 0 wrong controls; 1296 violate mass constrain.
Sat Jul  6 09:50:02 2013, (1301770000 clock):	15000 evaluated; 0 wrong controls; 1296 violate mass constrain.
Sat Jul  6 09:51:19 2013, (1377790000 clock):	16000 evaluated; 0 wrong controls; 1705 violate mass constrain.
Sat Jul  6 09:52:39 2013, (1457250000 clock):	17000 evaluated; 0 wrong controls; 1796 violate mass constrain.
Sat Jul  6 09:54:02 2013, (1539610000 clock):	18000 evaluated; 0 wrong controls; 1796 violate mass constrain.
Sat Jul  6 09:55:20 2013, (1617820000 clock):	19000 evaluated; 0 wrong controls; 1796 violate mass constrain.
Sat Jul  6 09:56:39 2013, (1696320000 clock):	20000 evaluated; 0 wrong controls; 1797 violate mass constrain.
Sat Jul  6 09:58:00 2013, (1776920000 clock):	21000 evaluated; 0 wrong controls; 1797 violate mass constrain.
Sat Jul  6 09:59:20 2013, (1855780000 clock):	22000 evaluated; 0 wrong controls; 1797 violate mass constrain.
Sat Jul  6 10:00:40 2013, (1935870000 clock):	23000 evaluated; 0 wrong controls; 1797 violate mass constrain.
Sat Jul  6 10:02:00 2013, (2014790000 clock):	24000 evaluated; 0 wrong controls; 1797 violate mass constrain.
Sat Jul  6 10:03:19 2013, (2093440000 clock):	25000 evaluated; 0 wrong controls; 1797 violate mass constrain.
Sat Jul  6 10:04:32 2013, (2166080000 clock):	26000 evaluated; 0 wrong controls; 2187 violate mass constrain.
Sat Jul  6 10:05:50 2013, (2243990000 clock):	27000 evaluated; 0 wrong controls; 2346 violate mass constrain.
Sat Jul  6 10:07:11 2013, (2323640000 clock):	28000 evaluated; 0 wrong controls; 2346 violate mass constrain.
Sat Jul  6 10:08:29 2013, (2402140000 clock):	29000 evaluated; 0 wrong controls; 2346 violate mass constrain.
Sat Jul  6 10:09:48 2013, (2480550000 clock):	30000 evaluated; 0 wrong controls; 2346 violate mass constrain.
Sat Jul  6 10:11:07 2013, (2559010000 clock):	31000 evaluated; 0 wrong controls; 2346 violate mass constrain.
Sat Jul  6 10:12:28 2013, (2638980000 clock):	32000 evaluated; 0 wrong controls; 2346 violate mass constrain.
Sat Jul  6 10:13:48 2013, (2718320000 clock):	33000 evaluated; 0 wrong controls; 2346 violate mass constrain.
Sat Jul  6 10:15:07 2013, (2797080000 clock):	34000 evaluated; 0 wrong controls; 2346 violate mass constrain.
Sat Jul  6 10:16:27 2013, (2876760000 clock):	35000 evaluated; 0 wrong controls; 2346 violate mass constrain.
Sat Jul  6 10:17:43 2013, (2951650000 clock):	36000 evaluated; 0 wrong controls; 2703 violate mass constrain.
Sat Jul  6 10:18:57 2013, (3025150000 clock):	37000 evaluated; 0 wrong controls; 3056 violate mass constrain.
Sat Jul  6 10:20:14 2013, (3102100000 clock):	38000 evaluated; 0 wrong controls; 3130 violate mass constrain.
Sat Jul  6 10:21:33 2013, (3180110000 clock):	39000 evaluated; 0 wrong controls; 3130 violate mass constrain.
Sat Jul  6 10:22:53 2013, (3259980000 clock):	40000 evaluated; 0 wrong controls; 3130 violate mass constrain.
Sat Jul  6 10:24:11 2013, (3337480000 clock):	41000 evaluated; 0 wrong controls; 3130 violate mass constrain.
Sat Jul  6 10:25:29 2013, (3415220000 clock):	42000 evaluated; 0 wrong controls; 3130 violate mass constrain.
Sat Jul  6 10:26:48 2013, (3493540000 clock):	43000 evaluated; 0 wrong controls; 3130 violate mass constrain.
Sat Jul  6 10:28:07 2013, (3572030000 clock):	44000 evaluated; 0 wrong controls; 3130 violate mass constrain.
Sat Jul  6 10:29:25 2013, (3650020000 clock):	45000 evaluated; 0 wrong controls; 3130 violate mass constrain.
Sat Jul  6 10:30:40 2013, (3723800000 clock):	46000 evaluated; 0 wrong controls; 3463 violate mass constrain.
