Tue Jul  2 12:48:40 2013, (0 clock):	Start log file
Tue Jul  2 12:48:40 2013, (0 clock):	Parameters loaded.
Tue Jul  2 12:48:40 2013, (0 clock):	controls:
  bounds:
    - 150
    - -150
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
interpolator:
  parameters:
    - 3
    - 2
  type: IDW-CONTROLS
Tue Jul  2 12:48:40 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Tue Jul  2 12:48:51 2013, (9390000 clock):	1000 evaluated; 0 wrong controls; 949 violate mass constrain.
Tue Jul  2 12:49:02 2013, (19550000 clock):	2000 evaluated; 0 wrong controls; 1885 violate mass constrain.
Tue Jul  2 12:49:13 2013, (29860000 clock):	3000 evaluated; 0 wrong controls; 2809 violate mass constrain.
Tue Jul  2 12:49:25 2013, (40950000 clock):	4000 evaluated; 0 wrong controls; 3734 violate mass constrain.
Tue Jul  2 12:49:38 2013, (53540000 clock):	5000 evaluated; 0 wrong controls; 4660 violate mass constrain.
Tue Jul  2 12:49:52 2013, (67050000 clock):	6000 evaluated; 0 wrong controls; 5583 violate mass constrain.
Tue Jul  2 12:50:07 2013, (81820000 clock):	7000 evaluated; 0 wrong controls; 6505 violate mass constrain.
Tue Jul  2 12:50:19 2013, (92500000 clock):	8000 evaluated; 0 wrong controls; 7449 violate mass constrain.
Tue Jul  2 12:50:32 2013, (105360000 clock):	9000 evaluated; 0 wrong controls; 8377 violate mass constrain.
Tue Jul  2 12:50:45 2013, (118200000 clock):	10000 evaluated; 0 wrong controls; 9311 violate mass constrain.
Tue Jul  2 12:50:59 2013, (131250000 clock):	11000 evaluated; 0 wrong controls; 10244 violate mass constrain.
Tue Jul  2 12:51:10 2013, (141440000 clock):	12000 evaluated; 0 wrong controls; 11185 violate mass constrain.
Tue Jul  2 12:51:21 2013, (152000000 clock):	13000 evaluated; 0 wrong controls; 12106 violate mass constrain.
Tue Jul  2 12:51:33 2013, (163630000 clock):	14000 evaluated; 0 wrong controls; 13052 violate mass constrain.
Tue Jul  2 12:51:44 2013, (173850000 clock):	15000 evaluated; 0 wrong controls; 13974 violate mass constrain.
Tue Jul  2 12:51:55 2013, (184580000 clock):	16000 evaluated; 0 wrong controls; 14918 violate mass constrain.
Tue Jul  2 12:52:05 2013, (194330000 clock):	17000 evaluated; 0 wrong controls; 15837 violate mass constrain.
Tue Jul  2 12:52:15 2013, (203710000 clock):	18000 evaluated; 0 wrong controls; 16779 violate mass constrain.
Tue Jul  2 12:52:25 2013, (213250000 clock):	19000 evaluated; 0 wrong controls; 17705 violate mass constrain.
Tue Jul  2 12:52:35 2013, (222940000 clock):	20000 evaluated; 0 wrong controls; 18630 violate mass constrain.
Tue Jul  2 12:52:45 2013, (232510000 clock):	21000 evaluated; 0 wrong controls; 19550 violate mass constrain.
Tue Jul  2 12:52:55 2013, (242040000 clock):	22000 evaluated; 0 wrong controls; 20483 violate mass constrain.
Tue Jul  2 12:53:05 2013, (251220000 clock):	23000 evaluated; 0 wrong controls; 21412 violate mass constrain.
Tue Jul  2 12:53:15 2013, (261600000 clock):	24000 evaluated; 0 wrong controls; 22334 violate mass constrain.
Tue Jul  2 12:53:25 2013, (270770000 clock):	25000 evaluated; 0 wrong controls; 23252 violate mass constrain.
Tue Jul  2 12:53:35 2013, (280150000 clock):	26000 evaluated; 0 wrong controls; 24182 violate mass constrain.
Tue Jul  2 12:53:45 2013, (289790000 clock):	27000 evaluated; 0 wrong controls; 25114 violate mass constrain.
Tue Jul  2 12:53:54 2013, (298830000 clock):	28000 evaluated; 0 wrong controls; 26035 violate mass constrain.
Tue Jul  2 12:54:05 2013, (309590000 clock):	29000 evaluated; 0 wrong controls; 26978 violate mass constrain.
Tue Jul  2 12:54:15 2013, (319220000 clock):	30000 evaluated; 0 wrong controls; 27897 violate mass constrain.
Tue Jul  2 12:54:26 2013, (329380000 clock):	31000 evaluated; 0 wrong controls; 28826 violate mass constrain.
Tue Jul  2 12:54:35 2013, (338180000 clock):	32000 evaluated; 0 wrong controls; 29767 violate mass constrain.
Tue Jul  2 12:54:46 2013, (348080000 clock):	33000 evaluated; 0 wrong controls; 30695 violate mass constrain.
Tue Jul  2 12:54:58 2013, (360120000 clock):	34000 evaluated; 0 wrong controls; 31629 violate mass constrain.
Tue Jul  2 12:55:09 2013, (370470000 clock):	35000 evaluated; 0 wrong controls; 32554 violate mass constrain.
Tue Jul  2 12:55:18 2013, (379790000 clock):	36000 evaluated; 0 wrong controls; 33490 violate mass constrain.
Tue Jul  2 12:55:28 2013, (389150000 clock):	37000 evaluated; 0 wrong controls; 34419 violate mass constrain.
Tue Jul  2 12:55:38 2013, (398490000 clock):	38000 evaluated; 0 wrong controls; 35359 violate mass constrain.
Tue Jul  2 12:55:47 2013, (407310000 clock):	39000 evaluated; 0 wrong controls; 36305 violate mass constrain.
Tue Jul  2 12:55:57 2013, (416520000 clock):	40000 evaluated; 0 wrong controls; 37231 violate mass constrain.
Tue Jul  2 12:56:07 2013, (426260000 clock):	41000 evaluated; 0 wrong controls; 38175 violate mass constrain.
Tue Jul  2 12:56:16 2013, (435640000 clock):	42000 evaluated; 0 wrong controls; 39117 violate mass constrain.
Tue Jul  2 12:56:26 2013, (445210000 clock):	43000 evaluated; 0 wrong controls; 40053 violate mass constrain.
Tue Jul  2 12:56:37 2013, (455510000 clock):	44000 evaluated; 0 wrong controls; 40979 violate mass constrain.
Tue Jul  2 12:56:46 2013, (464380000 clock):	45000 evaluated; 0 wrong controls; 41912 violate mass constrain.
Tue Jul  2 12:56:56 2013, (473720000 clock):	46000 evaluated; 0 wrong controls; 42838 violate mass constrain.
Tue Jul  2 12:57:06 2013, (482790000 clock):	47000 evaluated; 0 wrong controls; 43779 violate mass constrain.
Tue Jul  2 12:57:15 2013, (492360000 clock):	48000 evaluated; 0 wrong controls; 44723 violate mass constrain.
Tue Jul  2 12:57:25 2013, (501820000 clock):	49000 evaluated; 0 wrong controls; 45658 violate mass constrain.
Tue Jul  2 12:57:35 2013, (511430000 clock):	50000 evaluated; 0 wrong controls; 46588 violate mass constrain.
Tue Jul  2 12:57:45 2013, (520840000 clock):	51000 evaluated; 0 wrong controls; 47524 violate mass constrain.
Tue Jul  2 12:57:54 2013, (529570000 clock):	52000 evaluated; 0 wrong controls; 48457 violate mass constrain.
Tue Jul  2 12:58:04 2013, (538730000 clock):	53000 evaluated; 0 wrong controls; 49393 violate mass constrain.
Tue Jul  2 12:58:13 2013, (547630000 clock):	54000 evaluated; 0 wrong controls; 50337 violate mass constrain.
Tue Jul  2 12:58:23 2013, (557660000 clock):	55000 evaluated; 0 wrong controls; 51260 violate mass constrain.
Tue Jul  2 12:58:33 2013, (566490000 clock):	56000 evaluated; 0 wrong controls; 52193 violate mass constrain.
Tue Jul  2 12:58:43 2013, (576490000 clock):	57000 evaluated; 0 wrong controls; 53131 violate mass constrain.
Tue Jul  2 12:58:53 2013, (585970000 clock):	58000 evaluated; 0 wrong controls; 54051 violate mass constrain.
Tue Jul  2 12:59:05 2013, (597330000 clock):	59000 evaluated; 0 wrong controls; 54982 violate mass constrain.
Tue Jul  2 12:59:15 2013, (607210000 clock):	60000 evaluated; 0 wrong controls; 55907 violate mass constrain.
Tue Jul  2 12:59:24 2013, (616420000 clock):	61000 evaluated; 0 wrong controls; 56829 violate mass constrain.
Tue Jul  2 12:59:34 2013, (625630000 clock):	62000 evaluated; 0 wrong controls; 57757 violate mass constrain.
Tue Jul  2 12:59:43 2013, (634640000 clock):	63000 evaluated; 0 wrong controls; 58691 violate mass constrain.
Tue Jul  2 12:59:53 2013, (643740000 clock):	64000 evaluated; 0 wrong controls; 59633 violate mass constrain.
Tue Jul  2 13:00:02 2013, (652830000 clock):	65000 evaluated; 0 wrong controls; 60565 violate mass constrain.
Tue Jul  2 13:00:12 2013, (661850000 clock):	66000 evaluated; 0 wrong controls; 61488 violate mass constrain.
Tue Jul  2 13:00:21 2013, (670630000 clock):	67000 evaluated; 0 wrong controls; 62415 violate mass constrain.
Tue Jul  2 13:00:32 2013, (681200000 clock):	68000 evaluated; 0 wrong controls; 63367 violate mass constrain.
