Tue Jul  2 12:48:38 2013, (0 clock):	Start log file
Tue Jul  2 12:48:38 2013, (0 clock):	Parameters loaded.
Tue Jul  2 12:48:38 2013, (0 clock):	controls:
  bounds:
    - 150
    - -150
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
interpolator:
  parameters:
    - 3
    - 2
  type: IDW-CONTROLS
Tue Jul  2 12:48:38 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Tue Jul  2 12:48:52 2013, (12810000 clock):	1000 evaluated; 0 wrong controls; 902 violate mass constrain.
Tue Jul  2 12:49:07 2013, (26860000 clock):	2000 evaluated; 0 wrong controls; 1731 violate mass constrain.
Tue Jul  2 12:49:20 2013, (39840000 clock):	3000 evaluated; 0 wrong controls; 2536 violate mass constrain.
Tue Jul  2 12:49:34 2013, (52500000 clock):	4000 evaluated; 0 wrong controls; 3352 violate mass constrain.
Tue Jul  2 12:49:49 2013, (67320000 clock):	5000 evaluated; 0 wrong controls; 4131 violate mass constrain.
Tue Jul  2 12:50:02 2013, (80390000 clock):	6000 evaluated; 0 wrong controls; 5023 violate mass constrain.
Tue Jul  2 12:50:16 2013, (93460000 clock):	7000 evaluated; 0 wrong controls; 5859 violate mass constrain.
Tue Jul  2 12:50:33 2013, (110270000 clock):	8000 evaluated; 0 wrong controls; 6587 violate mass constrain.
Tue Jul  2 12:50:51 2013, (127710000 clock):	9000 evaluated; 0 wrong controls; 7253 violate mass constrain.
Tue Jul  2 12:51:10 2013, (146030000 clock):	10000 evaluated; 0 wrong controls; 7817 violate mass constrain.
Tue Jul  2 12:51:31 2013, (165940000 clock):	11000 evaluated; 0 wrong controls; 8309 violate mass constrain.
