Wed Jul  3 17:51:00 2013, (0 clock):	Start log file
Wed Jul  3 17:51:00 2013, (0 clock):	Parameters loaded.
Wed Jul  3 17:51:00 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
interpolator:
  parameters:
    - 3
    - 15
    - 2
  type: IDW
Wed Jul  3 17:51:00 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Wed Jul  3 17:51:10 2013, (9210000 clock):	1000 evaluated; 0 wrong controls; 998 violate mass constrain.
Wed Jul  3 17:51:20 2013, (17930000 clock):	2000 evaluated; 0 wrong controls; 1996 violate mass constrain.
Wed Jul  3 17:51:29 2013, (26970000 clock):	3000 evaluated; 0 wrong controls; 2989 violate mass constrain.
Wed Jul  3 17:51:39 2013, (36150000 clock):	4000 evaluated; 0 wrong controls; 3985 violate mass constrain.
Wed Jul  3 17:51:48 2013, (45420000 clock):	5000 evaluated; 0 wrong controls; 4982 violate mass constrain.
Wed Jul  3 17:51:58 2013, (54420000 clock):	6000 evaluated; 0 wrong controls; 5980 violate mass constrain.
Wed Jul  3 17:52:07 2013, (63530000 clock):	7000 evaluated; 0 wrong controls; 6974 violate mass constrain.
Wed Jul  3 17:52:17 2013, (72600000 clock):	8000 evaluated; 0 wrong controls; 7972 violate mass constrain.
Wed Jul  3 17:52:26 2013, (81830000 clock):	9000 evaluated; 0 wrong controls; 8967 violate mass constrain.
Wed Jul  3 17:52:36 2013, (90870000 clock):	10000 evaluated; 0 wrong controls; 9963 violate mass constrain.
Wed Jul  3 17:52:46 2013, (100210000 clock):	11000 evaluated; 0 wrong controls; 10961 violate mass constrain.
Wed Jul  3 17:52:55 2013, (109310000 clock):	12000 evaluated; 0 wrong controls; 11958 violate mass constrain.
Wed Jul  3 17:53:05 2013, (118700000 clock):	13000 evaluated; 0 wrong controls; 12954 violate mass constrain.
Wed Jul  3 17:53:14 2013, (127770000 clock):	14000 evaluated; 0 wrong controls; 13951 violate mass constrain.
Wed Jul  3 17:53:24 2013, (137030000 clock):	15000 evaluated; 0 wrong controls; 14948 violate mass constrain.
Wed Jul  3 17:53:33 2013, (146230000 clock):	16000 evaluated; 0 wrong controls; 15939 violate mass constrain.
Wed Jul  3 17:53:43 2013, (155530000 clock):	17000 evaluated; 0 wrong controls; 16931 violate mass constrain.
Wed Jul  3 17:53:52 2013, (164570000 clock):	18000 evaluated; 0 wrong controls; 17927 violate mass constrain.
Wed Jul  3 17:54:02 2013, (173410000 clock):	19000 evaluated; 0 wrong controls; 18922 violate mass constrain.
Wed Jul  3 17:54:11 2013, (182180000 clock):	20000 evaluated; 0 wrong controls; 19920 violate mass constrain.
Wed Jul  3 17:54:20 2013, (191230000 clock):	21000 evaluated; 0 wrong controls; 20913 violate mass constrain.
Wed Jul  3 17:54:29 2013, (200150000 clock):	22000 evaluated; 0 wrong controls; 21909 violate mass constrain.
Wed Jul  3 17:54:39 2013, (208970000 clock):	23000 evaluated; 0 wrong controls; 22905 violate mass constrain.
Wed Jul  3 17:54:48 2013, (217830000 clock):	24000 evaluated; 0 wrong controls; 23902 violate mass constrain.
Wed Jul  3 17:54:57 2013, (226850000 clock):	25000 evaluated; 0 wrong controls; 24896 violate mass constrain.
Wed Jul  3 17:55:06 2013, (235770000 clock):	26000 evaluated; 0 wrong controls; 25888 violate mass constrain.
Wed Jul  3 17:55:16 2013, (244630000 clock):	27000 evaluated; 0 wrong controls; 26882 violate mass constrain.
Wed Jul  3 17:55:25 2013, (253470000 clock):	28000 evaluated; 0 wrong controls; 27874 violate mass constrain.
Wed Jul  3 17:55:34 2013, (262170000 clock):	29000 evaluated; 0 wrong controls; 28871 violate mass constrain.
