Wed Jul  3 17:51:22 2013, (0 clock):	Start log file
Wed Jul  3 17:51:22 2013, (0 clock):	Parameters loaded.
Wed Jul  3 17:51:22 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
interpolator:
  parameters:
    - 3
    - 15
    - 2
  type: IDW
Wed Jul  3 17:51:22 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Wed Jul  3 17:51:31 2013, (9120000 clock):	1000 evaluated; 0 wrong controls; 981 violate mass constrain.
Wed Jul  3 17:51:41 2013, (18510000 clock):	2000 evaluated; 0 wrong controls; 1962 violate mass constrain.
Wed Jul  3 17:51:51 2013, (27890000 clock):	3000 evaluated; 0 wrong controls; 2937 violate mass constrain.
Wed Jul  3 17:52:02 2013, (37680000 clock):	4000 evaluated; 0 wrong controls; 3900 violate mass constrain.
Wed Jul  3 17:52:13 2013, (48560000 clock):	5000 evaluated; 0 wrong controls; 4801 violate mass constrain.
Wed Jul  3 17:52:22 2013, (57600000 clock):	6000 evaluated; 0 wrong controls; 5793 violate mass constrain.
Wed Jul  3 17:52:32 2013, (66790000 clock):	7000 evaluated; 0 wrong controls; 6781 violate mass constrain.
Wed Jul  3 17:52:42 2013, (76260000 clock):	8000 evaluated; 0 wrong controls; 7758 violate mass constrain.
Wed Jul  3 17:52:51 2013, (85570000 clock):	9000 evaluated; 0 wrong controls; 8740 violate mass constrain.
Wed Jul  3 17:53:01 2013, (95010000 clock):	10000 evaluated; 0 wrong controls; 9719 violate mass constrain.
Wed Jul  3 17:53:11 2013, (104370000 clock):	11000 evaluated; 0 wrong controls; 10695 violate mass constrain.
Wed Jul  3 17:53:21 2013, (114390000 clock):	12000 evaluated; 0 wrong controls; 11645 violate mass constrain.
Wed Jul  3 17:53:32 2013, (125030000 clock):	13000 evaluated; 0 wrong controls; 12558 violate mass constrain.
Wed Jul  3 17:53:43 2013, (135050000 clock):	14000 evaluated; 0 wrong controls; 13497 violate mass constrain.
Wed Jul  3 17:53:54 2013, (145480000 clock):	15000 evaluated; 0 wrong controls; 14416 violate mass constrain.
Wed Jul  3 17:54:03 2013, (154690000 clock):	16000 evaluated; 0 wrong controls; 15407 violate mass constrain.
Wed Jul  3 17:54:13 2013, (163750000 clock):	17000 evaluated; 0 wrong controls; 16398 violate mass constrain.
Wed Jul  3 17:54:22 2013, (172990000 clock):	18000 evaluated; 0 wrong controls; 17393 violate mass constrain.
Wed Jul  3 17:54:32 2013, (182370000 clock):	19000 evaluated; 0 wrong controls; 18382 violate mass constrain.
Wed Jul  3 17:54:41 2013, (191370000 clock):	20000 evaluated; 0 wrong controls; 19371 violate mass constrain.
Wed Jul  3 17:54:51 2013, (200410000 clock):	21000 evaluated; 0 wrong controls; 20365 violate mass constrain.
