Tue Jul  9 13:59:21 2013, (0 clock):	Start log file
Tue Jul  9 13:59:21 2013, (0 clock):	Parameters loaded.
Tue Jul  9 13:59:21 2013, (0 clock):	controls:
  fixedElevationChange: 2
  bounds:
    - 400
    - 0
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
state:
  cell:
    area: 1
    length: 1000
    width: 1000
  dimensions:
    - 51
    - 51
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
hydrologicalParameters:
  rainfallExcess: 10
  runoffCoeff: 1
interpolator:
  parameters:
    - 5
    - 15
    - 4
  type: IDW
Tue Jul  9 13:59:21 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 6.60119e-12, 
Tue Jul  9 13:59:46 2013, (23720000 clock):	1000 evaluated; 0 wrong controls; 1000 violate mass constrain.
Tue Jul  9 14:00:09 2013, (46890000 clock):	2000 evaluated; 0 wrong controls; 2000 violate mass constrain.
Tue Jul  9 14:00:33 2013, (70010000 clock):	3000 evaluated; 0 wrong controls; 3000 violate mass constrain.
Tue Jul  9 14:00:57 2013, (93410000 clock):	4000 evaluated; 0 wrong controls; 3996 violate mass constrain.
Tue Jul  9 14:01:21 2013, (118050000 clock):	5000 evaluated; 0 wrong controls; 4938 violate mass constrain.
Tue Jul  9 14:01:45 2013, (141060000 clock):	6000 evaluated; 0 wrong controls; 5934 violate mass constrain.
Tue Jul  9 14:02:09 2013, (165420000 clock):	7000 evaluated; 0 wrong controls; 6867 violate mass constrain.
Tue Jul  9 14:02:34 2013, (190270000 clock):	8000 evaluated; 0 wrong controls; 7791 violate mass constrain.
Tue Jul  9 14:03:00 2013, (215420000 clock):	9000 evaluated; 0 wrong controls; 8718 violate mass constrain.
Tue Jul  9 14:03:25 2013, (240260000 clock):	10000 evaluated; 0 wrong controls; 9636 violate mass constrain.
Tue Jul  9 14:03:51 2013, (265590000 clock):	11000 evaluated; 0 wrong controls; 10545 violate mass constrain.
Tue Jul  9 14:04:16 2013, (290510000 clock):	12000 evaluated; 0 wrong controls; 11462 violate mass constrain.
Tue Jul  9 14:04:41 2013, (315920000 clock):	13000 evaluated; 0 wrong controls; 12388 violate mass constrain.
Tue Jul  9 14:05:06 2013, (340730000 clock):	14000 evaluated; 0 wrong controls; 13335 violate mass constrain.
Tue Jul  9 14:05:32 2013, (365960000 clock):	15000 evaluated; 0 wrong controls; 14254 violate mass constrain.
Tue Jul  9 14:05:56 2013, (389490000 clock):	16000 evaluated; 0 wrong controls; 15249 violate mass constrain.
Tue Jul  9 14:06:20 2013, (413640000 clock):	17000 evaluated; 0 wrong controls; 16212 violate mass constrain.
Tue Jul  9 14:06:45 2013, (438390000 clock):	18000 evaluated; 0 wrong controls; 17135 violate mass constrain.
Tue Jul  9 14:07:10 2013, (463450000 clock):	19000 evaluated; 0 wrong controls; 18038 violate mass constrain.
Tue Jul  9 14:07:36 2013, (488600000 clock):	20000 evaluated; 0 wrong controls; 18907 violate mass constrain.
Tue Jul  9 14:08:01 2013, (514170000 clock):	21000 evaluated; 0 wrong controls; 19790 violate mass constrain.
Tue Jul  9 14:08:26 2013, (538400000 clock):	22000 evaluated; 0 wrong controls; 20702 violate mass constrain.
Tue Jul  9 14:08:50 2013, (562620000 clock):	23000 evaluated; 0 wrong controls; 21614 violate mass constrain.
